0.25.3,Thu Jul 16 18:20:38 2026,,,,,,,,,,,,,
id,class,name,pretty_name,ergonomics,weight,horizontal_recoil,vertical_recoil,magazine_capacity,barrel_deviation,bullet_damage,bullet_velocity,buck_barrel_deviation,fire_rate,price
,picatinny,,,,,,,,,,,,,
,,paramount_arms_slx_1x_microprism_acss_g2_scope,Paramount Arms SLx 1x MicroPrism ACSS-G2,-1,0.08,,,,,,,,,1300
,,paramount_arms_slx_1.1inch_mount,"Paramount Arms SLx 1.1""",0,0.03,,,,,,,,,200
,,paramount_arms_slx_1.53inch_straight_spacer,"Paramount Arms SLx 1.53""",-0.5,0.05,,,,,,,,,100
,,25mm_universal_mount,25mm Universal Tactical,0,0.04,,,,,,,,,100
,,firm_no5_mount,F.I.R.M. #5 Multibase,-1,0.06,,,,,,,,,400
,,alpha_four_tactical_angled_foregrip,Alpha Four Tactical Angled,1,0.16,-1,-7,,,,,,,900
,,abom_cnc_works_picatinny_susat_adapter,Abom's CNC Works Picatinny SUSAT Adapter,0,0.06,,,,,,,,,300
,,virticon_ac32062_mount,Virticon AC32062 RMR Mount,-1,0.05,,,,,,,,,350
,,aeroknox_ax15_front_sight_base,Arrow AX // 15 Base,0,0.02,,,,,,,,,400
,,aeroknox_ax15_rear_sight_base,Arrow AX // 15 Base,0,0.02,,,,,,,,,400
,,target_sports_low_profile_45_degree_sight_base,Target Sports Low Profile 45 Degree,0,0.02,,,,,,,,,400
,,azimuth_30mm_low_ring_mount,Azimuth 30mm Low Ring,0,0.03,,,,,,,,,200
,,azimuth_amm_dovetail_11mm_mount,Azimuth AMM Dovetail Groove 11mm,0,0.02,,,,,,,,,200
,,azimuth_electronic_g2_red_dot,Azimuth Electronic G2,0,0.17,,,,,,,,,500
,,azimuth_micro_lrp_qd_mount,Azimuth Micro LRP QD,0,0.03,,,,,,,,,300
,,be_meyers_mawl_c1+,B.E. Meyers MAWL-C1+,-1,0.07,,,,,,,,,3000
,,corvus_mounts_comm_30mm_mount_body,"Corvus Mounts C.O.M.M. 30mm 1.54"" Height",-0.5,0.06,,,,,,,,,1000
,,corvus_mounts_comm_34mm_mount_body,"Corvus Mounts C.O.M.M. 34mm 1.54"" Height",-0.5,0.07,,,,,,,,,1000
,,alistair_ar_prb_mount,Alistair AR PRB,0,0.06,,,,,,,,,400
,,alistair_ar_pepr_30mm_mount,Alistair AR-P.E.P.R.™,-1,0.11,,,,,,,,,800
,,adron_kobra_ekp_8_sight,Adron Kobra EKP-8,-1,0.16,,,,,,,,,700
,,adron_kobra_ekp_8_18_mount,Adron Kobra EKP-8-18 Picatinny,0,0.03,,,,,,,,,400
,,adron_kobra_ekp_8_sunshade,Adron Kobra EKP-8,1,0.02,,,,,,,,,50
,,hart_ca2r,Hart CA2R,0,0.07,,,,,,,,,400
,,hart_m4a1_carry_handle,Hart M4A1 Carry Handle,3,0.14,,,,,,,,,0
,,hera_arms_cqr_gen1_foregrip,CQR FG,6,0.23,-1,-3,,,,,,,1000
,,hera_arms_cqr_gen2_foregrip,Eris Arms CQR Gen2,6,0.23,-3,0,,,,,,,1500
,,elcan_c79a2,RECAN C79A2 3.4x,-2.5,0.33,,-3,,,,,,,3000
,,elcan_specter_os4x_sfov4,RECAN Specter OS4X Fixed-Magn. SFOV4,-3,0.24,,-2,,,,,,,3000
,,elcan_specterdr_1_4x_dfov14_t1,RECAN SpecterDR 1-4x DFOV14-T1,-3.5,0.28,,-2,,,,,,,4000
,,holotec_553_holo_sight,HOLOTEC 553,-1.5,0.18,,,,,,,,,1400
,,holotec_552_holo_sight,HOLOTEC 552,-1.5,0.17,,,,,,,,,1300
,,holotec_512_holo_sight,HOLOTEC 512,-1,0.17,,,,,,,,,1100
,,holotec_exps3_holo_sight,HOLOTEC EXPS3,-2,0.12,,,,,,,,,1700
,,holotec_exps2_holo_sight,HOLOTEC EXPS2,-1.5,0.12,,,,,,,,,1500
,,holotec_sts_picatinny_mount,HOLOTEC G23/33 STS,0,0.04,,,,,,,,,200
,,holotec_xps3_holo_sight,HOLOTEC XPS3,-2,0.14,,,,,,,,,1800
,,holotec_xps2_holo_sight,HOLOTEC XPS2,-1.5,0.14,,,,,,,,,1600
,,holotec_xps2_green_holo_sight,HOLOTEC XPS2 Green,-1.5,0.14,,,,,,,,,1700
,,holotec_xps2z_zombie_stopper_holo_sight,HOLOTEC XPS2-Z Zombie Stopper,-1.5,0.14,,,,,,,,,2000
,,holotec_exps2_green_holo_sight,HOLOTEC EXPS2 Green,-1.5,0.12,,,,,,,,,1600
,,holotec_exps2_mount,HOLOTEC EXPS2,0,0.03,,,,,,,,,300
,,holotec_exps3_mount,HOLOTEC EXPS3,0,0.03,,,,,,,,,300
,,holotec_exps2_hood,HOLOTEC EXPS2 Hood,0,0,,,,,,,,,0
,,holotec_exps3_hood,HOLOTEC EXPS3 Hood,0,0,,,,,,,,,0
,,holotec_exps2_green_hood,HOLOTEC EXPS2 Green Hood,0,0,,,,,,,,,0
,,holotec_553_hood,HOLOTEC 553 Hood,0,0,,,,,,,,,0
,,holosun_hs510c_sight,HoloStar HS510C,-2,0.08,,,,,,,,,1500
,,holosun_he510c-gr_sight,HoloStar HE510C-GR,-2,0.08,,,,,,,,,1700
,,pro_tactical_tactical_lightweight_vertical_grip,P.R.O Tactical Lightweight Vertical,5,0.11,-4,-1,,,,,,,400
,,emberfield_mg_kemper_xl_reflex_sight,EmberField MG Kemper XL Reflex,-7,0.19,,-1,,0.25,,,,,2000
,,aft_rear_sight_base,AFT Standard,0,0.02,,,,,,,,,200
,,gbrs_group_azimuth_hydra_mount_kit,GBRS Group Hydra Mount Kit For Azimuth,-3,0.17,,,,,,,,,1000
,,grip_pod_gps_02_body,Grip Pod Systems GPS-02,0,0.15,0,0,,,,,,,1100
,,holosun_hs401g5,HoloStar HS401G5,-2,0.2,,,,,,,,,800
,,holosun_ls321g,HoloStar LS321G,-1,0.06,,,,,,,,,800
,,insight_technology_an_peq_5_cvl,Percept Technology CVL AN/PEQ-5,-1,0.07,,,,,,,,,600
,,insight_technology_an_peq_2a_tpial,Percept Technology TPIAL AN/PEQ-2A,-1.5,0.08,,,,,,,,,750
,,insight_technology_wmx200_fixed_mount_tactical_illuminator,Percept Technology WMX200 Tactical Illuminator w/ Fixed Non-Rotating Mount,-1,0.06,,,,,,,,,1200
,,pac_11rib_railpanel,PAC 11 Rib,1.75,0.07,,,,,,,,,600
,,pac_2rib_railpanel,PAC 2 Rib,0.5,0.02,,,,,,,,,100
,,pac_4rib_railpanel,PAC 4 Rib,0.75,0.03,,,,,,,,,200
,,pac_5rib_railpanel,PAC 5 Rib,1,0.04,,,,,,,,,300
,,pac_6rib_railpanel,PAC 6 Rib,1.25,0.05,,,,,,,,,400
,,pac_9rib_railpanel,PAC 9 Rib,1.5,0.06,,,,,,,,,500
,,pac_front_sight_base,PAC Front Base,0,0.02,,,,,,,,,200
,,pac_micro_front_sight_base,PAC Micro Front Base,0,0.01,,,,,,,,,200
,,pac_micro_rear_sight_base,PAC Micro Rear Base,0,0.01,,,,,,,,,200
,,pac_rear_sight_base,PAC Rear Base,0,0.02,,,,,,,,,200
,,pac_vpg,PAC VPG,2,0.09,-6,-3,,,,,,,700
,,khf_34mm_iea,KHF I-E-A 34mm,-1,0.11,,,,,,,,,500
,,l3harrison_atpial_an_peq_15,N4 Harrison ATPIAL AN/PEQ-15,-1,0.06,,,,,,,,,1200
,,l3harrison_mipim_an_peq_16b,N4 Harrison MIPIM AN/PEQ-16B,-1,0.07,,,,,,,,,2000
,,leroux_qd_lt_101,LeRoux QD LT-101,-0.5,0.04,,,,,,,,,1000
,,las_tac_2,LAS/TAC 2,-0.5,0.05,,,,,,,,,750
,,strauss_deltapoint_pro_ar,Strauss DeltaPoint PRO AR,-1,0.07,,,,,,,,,300
,,strauss_deltapoint_pro_cross_slot,Strauss DeltaPoint Pro Cross Slot,0,0.02,,,,,,,,,200
,,strauss_deltapoint_pro_ar_dloc,Strauss DeltaPoint PRO DLOC,-1,0.05,,,,,,,,,250
,,magtap_afg_2_grip,Magtap AFG-2,4,0.09,-4,-3,,,,,,,600
,,magtap_mbus_gen2_base,Magtap MBUS Gen2,0,0.02,,,,,,,,,400
,,magtap_rvg_mag412_foregrip,Magtap RVG MAG412,4,0.08,-2,-5,,,,,,,300
,,xtm_2_piece,Magtap XTM 2-Piece Panel,1,0.04,,,,,,,,,200
,,xtm_4_piece,Magtap XTM 4-Piece Panel,1.75,0.07,,,,,,,,,400
,,magtap_xtm_enhanced_handstop_1,Magtap XTM Enhanced Handstop Piece,6,0.03,-1,0,,,,,,,50
,,magtap_xtm_enhanced_half_panel_1,Magtap XTM Enhanced Modular Half Panel Piece,0.25,0.01,,,,,,,,,50
,,magtap_xtm_enhanced_panel_1,Magtap XTM Enhanced Modular Panel Piece,0.5,0.02,,,,,,,,,50
,,magtap_xtm_enhanced_short_handstop_1,Magtap XTM Enhanced Short Handstop Piece,0.5,0.03,,,,,,,,,50
,,xtm_full_handstop,Magtap XTM Full Handstop,6,0.09,-2,-2,,,,,,,500
,,fab_tech_usgi_rear_buis_base,MaTech USGI Rear BUIS Base,0,0.03,,,,,,,,,200
,,maxwell_grip,Legally Distinct Feline,,4,,,,,,,,,10000
,,mission_first_folding_grip,Mission First Tactical Folding,3,0.1,-6,-2,,,,,,,400
,,monstrum_tactical_compact_scope_mount,Monstrum Tactical Compact,0,0.05,,,,,,,,,400
,,monstrum_tactical_s232p_2x32_prism_scope,Monstrum Tactical S323P 2x32 Compact Prism,-2,0.16,,,,,,,,,1000
,,target_sports_mt012h_riser_mount,"Target Sports MT012H 1""",-1,0.06,,,,,,,,,400
,,target_sports_mt012l_riser_mount,"Target Sports MT012L 0.5""",-1,0.06,,,,,,,,,200
,,target_sports_mt012m_riser_mount,"Target Sports MT012M 0.83""",-1,0.06,,,,,,,,,300
,,cosmotac_blue_lam_module,CosmoTac Blue LAM Module,-1,0.08,,,,,,,,,750
,,cosmotac_mark_3_tactical_gen2_3_9x42,CosmoTac Mark III Tactical Gen 2 3-9x42,-5,0.26,,-2,,,,,,,2000
,,cosmotac_mpr45_offset_mount,CosmoTac Mpr45 Offset,-0.5,0.03,,,,,,,,,200
,,npz_1p78_kashtan_p1_picatinny_adapter,NPZ 1P78 Kashtan P-1 Picatinny Adapter,0,0.06,,,,,,,,,300
,,okb_crazy_romanian_picatinny_full_grip,OKB Crazy Romanian Picatinny Full,1,0.11,-5,-4,,,,,,,800
,,okb_crazy_romanian_picatinny_half_grip,OKB Crazy Romanian Picatinny Half,4,0.07,-2,-4,,,,,,,600
,,pilad_p1x42,Pilad P1x42,-2,0.09,,,,,,,,,1000
,,priceli_narod_okp_7_picatinny,Priceli Narod OKP-7,-1.5,0.12,,,,,,,,,1000
,,pts_validus_shift_tactical_grip,Pts Validus Shift Tactical,3,0.09,-5,-3,,,,,,,600
,,azimuth_qrp1_30mm_mount,Azimuth QRP 30mm,-0.5,0.07,,,,,,,,,300
,,azimuth_qrp1_30mm_mount_w_spacer,Azimuth QRP 30mm w 39mm Spacer,-1,0.09,,,,,,,,,400
,,whitehouse_compm_30mm_mount,Whitehouse COMP-M 30mm,-1,0.06,,,,,,,,,600
,,azimuth_qrp2_modular_base_mount,Azimuth QRP2 Modular Base,0,0.03,,,,,,,,,300
