balancing.csv inputs,,,,,,,,,,,,calibers.csv damage inputs,,,,,,,calculated torso damage by range,,,,,,,,calibers.csv traits & penetration inputs,,,,,,,penetration model,,source audit,,weighted score,,,,,
name,pretty_name,ergonomics,weight,horizontal_recoil,vertical_recoil,barrel_deviation,bullet_damage,bullet_velocity,fire_rate,muzzle_loudness,price,damage_torso_a,damage_torso_b,damage_torso_c,damage_torso_d,damage_arm_d,damage_leg_d,damage_head_d,damage_25,damage_75,damage_150,damage_250,damage_375,damage_525,_,weighted_damage,velocity_drop,suppression,bullet_penetration_ability,pen_low,pen_high,pen_velocity_low,pen_velocity_high,effective_velocity,penetration,calibers_row,source_file,balance_score,damage_score,velocity_drop_score,suppression_score,penetration_score,strength
7.62x51_appalachian_m80_149gr_fmj,Appalachian M80 149gr FMJ,0,0.00,0,0,0.00,,0,,,0,-0.026,104.5,104,1,0.3,0.5,2.5,103.85,102.55,100.60,98.00,94.75,90.85,104.00,97.48,0.30,1.20,stat(bullet_velocity;0.6;1.1;1500;3000),0.60,1.10,"1,500","3,000","2,070",0.79,53,calibers.csv,0.00,-3.78,-0.10,1.05,-0.84,-3.67
7.62x51_appalachian_m62_142gr_red_tracer,Appalachian M62 142gr Red Tracer,2,-0.01,-2,-1,0.10,,0,,,500,-0.028,104.5,104,1,0.3,0.5,2.5,103.80,102.40,100.30,97.50,94.00,89.80,104.00,96.94,0.35,1.35,stat(bullet_velocity;0.55;1.05;1500;3000),0.55,1.05,"1,500","3,000","2,070",0.74,51,calibers.csv,3.40,-4.59,0.00,1.50,-1.04,-0.73
7.82x51_laccio_308app_extrema_leadless_168gr_tipped_tsx_bt,Laccio .308 Appalachian Extrema Leadless 168gr Tipped TSX-BT,0,0.05,2,2,-0.15,,-50,,,1000,-0.026,105.5,105.5,1,0.3,0.5,2.5,104.85,103.55,101.60,99.00,95.75,91.85,105.50,98.48,0.45,1.10,stat(bullet_velocity;0.2;0.7;1500;3000),0.20,0.70,"1,500","3,000","2,020",0.37,49,calibers.csv,-2.55,-2.28,0.20,0.75,-2.51,-6.39
7.62x51_federal_m118lr_175gr_otm,Federal M118LR 175gr OTM,-1,0.08,3,4,-0.20,,-150,,,3000,-0.018,104,104,1,0.3,0.5,2.5,103.55,102.65,101.30,99.50,97.25,94.55,104.00,99.14,0.10,0.90,stat(bullet_velocity;0.05;0.55;1500;3000),0.05,0.55,"1,500","3,000","1,920",0.19,52,calibers.csv,-6.15,-1.29,-0.50,0.15,-3.24,-11.03
7.62x51_cae_l59a1_155gr_enhanced_performance,CAe L59A1 155gr Enhanced Performance,-1,0.03,2,1,-0.10,,0,,,2500,-0.022,104,103,1,0.3,0.5,2.5,103.00,102.35,100.70,98.50,95.75,92.45,103.00,98.02,0.15,1.00,stat(bullet_velocity;1.1;1.6;1500;3000),1.10,1.60,"1,500","3,000","2,070",1.29,48,calibers.csv,-2.80,-2.98,-0.40,0.45,1.16,-4.57
7.62x51_appalachian_m80a1_130gr_epr,Appalachian M80A1 130gr EPR,-1,-0.04,1,2,-0.10,,150,,,2500,-0.024,104.5,104,1,0.3,0.5,2.5,103.90,102.70,100.90,98.50,95.50,91.90,104.00,98.02,0.20,0.90,stat(bullet_velocity;0.85;1.35;1500;3000),0.85,1.35,"1,500","3,000","2,220",1.09,47,calibers.csv,-0.45,-2.97,-0.30,0.15,0.36,-3.21
7.62x51_emmeo_m993_129gr_ap,Emmeo M993 129gr AP,-1,-0.06,2,3,-0.05,,150,,,4000,-0.02,103,102,1,0.25,0.45,2.5,102.00,101.50,100.00,98.00,95.50,92.50,102.00,97.55,0.15,1.00,stat(bullet_velocity;1.5;2;1500;3000),1.50,2.00,"1,500","3,000","2,220",1.74,50,calibers.csv,-1.95,-3.67,-0.40,0.45,2.96,-2.61
7.62x51_appalachian_mk319_mod0_130gr_otm,Appalachian Mk.319 Mod0 130gr OTM,1,-0.05,1,2,-0.05,,200,,,3500,-0.032,106.5,106,1,0.3,0.5,2.5,105.70,104.10,101.70,98.50,94.50,89.70,106.00,97.86,0.30,0.80,stat(bullet_velocity;0.35;0.85;1500;3000),0.35,0.85,"1,500","3,000","2,270",0.61,46,calibers.csv,1.50,-3.21,-0.10,-0.15,-1.57,-3.53
7.82x51_hawthorne_308_sub_x_190gr_subsonic,Hawthorne .308 Sub X 190gr Subsonic,3,0.10,-3,-3,0.20,,-900,-0.03,-0.60,2500,-0.064,109.5,109.5,1,0.3,0.5,2.5,107.90,104.70,99.90,93.50,85.50,75.90,109.50,92.22,0.70,0.20,stat(bullet_velocity;0.2;0.7;1500;3000),0.20,0.70,"1,500","3,000","1,170",0.20,45,calibers.csv,1.40,-11.67,0.70,-1.95,-3.20,-14.72
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
