,,old,,,,,,,,,,,=C3-D3*20-E3*0.8-F3*0.6-H3*10,,new,,,,,,,,,,,
name,pretty_name,ergonomicsold,weightold,horizontal_recoilold,vertical_recoilold,magazine_capacityold,barrel_deviationold,bullet_damageold,bullet_velocityold,buck_barrel_deviationold,fire_rateold,priceold,strength,,ergonomics,weight,horizontal_recoil,vertical_recoil,magazine_capacity,barrel_deviation,bullet_damage,bullet_velocity,buck_barrel_deviation,fire_rate,price,strength
dsa_sa58_fal_metric_magazine_10r,DSA FAL SA-58 U.S. Made Metric 10R,6,0.21,,,10,,,,,,500,1.8,,7,0.32,,,10,,,,,,500,0.6
dsa_sa58_fal_metric_magazine_20r,DSA FAL SA-58 U.S. Made Metric 20R,-2,0.31,,,20,,,,,,1000,-8.2,,0,0.61,,,20,,,,,,1000,-12.2
dsa_sa58_fal_metric_magazine_30r,DSA FAL SA-58 U.S. Made Metric 30R,-9,0.49,,,30,,,,,,2000,-18.8,,-7,0.92,,,30,,,,,,2000,-25.4
enfield_l1a1_slr_pattern_mag_30r,Enfield L1A1 SLR Pattern 30R,-7,0.52,,,30,,,,,,2500,-17.4,,-6,0.94,,,30,,,,,,2500,-24.8
mmw_fal_polymer_mag_20r,Moses Mag Works Polymer 20R,-3,0.26,,,20,,,,,,1500,-8.2,,-1,0.55,,,20,,,,,,1500,-12
x_products_x_fal_drum_mag_50r,X Products X-FAL .308 50R Drum,-15,0.82,,,50,0.1,,,,,4000,-32.4,,-15,1.49,,,50,0.1,,,,,4000,-45.8
,,,,,,,,,,,,,0,,,,,,,,,,,,,0
dsa_sa58_enhanced_bumper_magazine_bottom_plate,DSA FAL SA-58 Enhanced Bumper Magazine,2,0.04,,,,,,,,,500,1.2,,1,0.05,,,,,,,,,500,0
dsa_sa58_mag_bottom_plate,DSA FAL SA-58 Magazine,1,0.02,,,,,,,,,0,0.6,,0,0.02,,,,,,,,,0,-0.4
,,,,,,,,,,,,,0,,,,,,,,,,,,,0
hk_g3_10r_magazine,HK G3/MSG-90 10R,5,0.2,,,10,,,,,,500,1,,7,0.33,,,10,,,,,,500,0.4
