balancing.csv inputs,,,,,,,,,,,calibers.csv damage inputs,,,,,,,calculated torso damage by range,,,,,,,,calibers.csv traits & penetration inputs,,,,,,,penetration model,,source audit,,weighted score,,,,,
name,pretty_name,ergonomics,weight,horizontal_recoil,vertical_recoil,barrel_deviation,bullet_damage,bullet_velocity,fire_rate,price,damage_torso_a,damage_torso_b,damage_torso_c,damage_torso_d,damage_arm_d,damage_leg_d,damage_head_d,damage_25,damage_75,damage_150,damage_250,damage_375,damage_400,damage_500,weighted_damage,velocity_drop,suppression,bullet_penetration_ability,pen_low,pen_high,pen_velocity_low,pen_velocity_high,effective_velocity,penetration,calibers_row,source_file,balance_score,damage_score,velocity_drop_score,suppression_score,penetration_score,strength
5.45x39_kazarov_7n6_53gr_ps,Kazarov 7N6 53gr PS,0,0.00,0,0,0.00,,0,,0,-0.026,56,56,1,0.3,0.5,2.5,55.35,54.05,52.10,49.50,46.25,45.60,43.00,51.45,0.50,0.75,stat(bullet_velocity;0.4;1.2;1500;3000),0.40,1.20,"1,500","3,000","2,343",0.85,19,calibers.csv,0.00,2.18,-0.30,-0.30,-0.60,0.97
5.45x39_kazarov_7t3_49gr_red_tracer,Kazarov 7T3 49gr Red Tracer,2,-0.02,-1,-1,0.15,,25,,500,-0.028,55,55,1,0.3,0.5,2.5,54.30,52.90,50.80,48.00,44.50,43.80,41.00,50.10,0.55,1.05,stat(bullet_velocity;0.3;1.1;1500;3000),0.30,1.10,"1,500","3,000","2,368",0.76,22,calibers.csv,2.43,0.15,-0.40,0.60,-0.95,1.83
5.45x39_kazarov_7n10_56gr,Kazarov 7N10 56gr PP,-1,0.02,0,1,-0.05,,-25,,750,-0.024,56.5,56.5,1,0.3,0.5,2.5,55.90,54.70,52.90,50.50,47.50,46.90,44.50,52.30,0.45,0.75,stat(bullet_velocity;0.5;1.3;1500;3000),0.50,1.30,"1,500","3,000","2,318",0.94,25,calibers.csv,-1.63,3.45,-0.20,-0.30,-0.25,1.07
5.45x39_barnaul_7n22_57gr_bp,Barnaul 7N22 57gr BP,0,0.02,0,0,0.00,,-25,,1250,-0.022,54.5,53,1,0.25,0.45,2.5,53.00,52.85,51.20,49.00,46.25,45.70,43.50,50.46,0.45,0.80,stat(bullet_velocity;0.75;1.55;1500;3000),0.75,1.55,"1,500","3,000","2,318",1.19,21,calibers.csv,-0.53,0.69,-0.20,-0.15,0.75,0.56
5.45x39_polar_bear_60gr_fmj,Polar Bear 60gr FMJ,0,0.04,1,1,0.05,,-75,,1000,-0.034,60,59,1,0.3,0.5,2.5,59.00,57.45,54.90,51.50,47.25,46.40,43.00,54.02,0.55,0.80,stat(bullet_velocity;0.45;1.25;1500;3000),0.45,1.25,"1,500","3,000","2,268",0.86,20,calibers.csv,-3.08,6.03,-0.40,-0.15,-0.56,1.84
5.45x39_fox_performance_55gr_hpbt,Fox Performance 55gr HPBT,-1,0.01,1,0,-0.10,,-25,,2000,-0.016,56,56,1,0.3,0.5,2.5,55.60,54.80,53.60,52.00,50.00,49.60,48.00,53.20,0.40,0.70,stat(bullet_velocity;0.25;1.05;1500;3000),0.25,1.05,"1,500","3,000","2,318",0.69,17,calibers.csv,-1.13,4.80,-0.10,-0.45,-1.25,1.87
5.45x39_hawthorne_black_60gr_vmax,Hawthorne BLACK 60gr V-MAX,-1,0.04,2,1,-0.20,,-100,,2500,-0.02,58,58,1,0.3,0.5,2.5,57.50,56.50,55.00,53.00,50.50,50.00,48.00,54.50,0.35,0.75,stat(bullet_velocity;0.2;1;1500;3000),0.20,1.00,"1,500","3,000","2,243",0.60,18,calibers.csv,-2.50,6.75,0.00,-0.30,-1.61,2.34
5.45x39_kazarov_7n40_64gr,Kazarov 7N40 64gr FMJ,-1,0.06,2,2,-0.15,,-100,,4000,-0.026,59,57.5,1,0.3,0.5,2.5,57.50,57.05,55.10,52.50,49.25,48.60,46.00,54.28,0.45,0.85,stat(bullet_velocity;0.6;1.4;1500;3000),0.60,1.40,"1,500","3,000","2,243",1.00,26,calibers.csv,-4.00,6.42,-0.20,0.00,-0.01,2.21
5.45x39_tsniiitekhmash_7n39_63gr,TsNIITekhMash 7N39 63gr Igolnik,-1,0.06,2,0,-0.10,,-100,,4000,-0.022,57,55,1,0.2,0.4,2.5,55.00,55.00,53.70,51.50,48.75,48.20,46.00,52.79,0.40,0.80,stat(bullet_velocity;1;1.8;1500;3000),1.00,1.80,"1,500","3,000","2,243",1.40,24,calibers.csv,-3.30,4.19,-0.10,-0.15,1.59,2.22
5.45x39_lugansk_7u1_79gr_us,Lugansk 7U1 79gr US,3,0.12,-2,-3,0.25,,-1200,-0.02,2000,-0.066,65,65,1,0.3,0.5,2.5,63.35,60.05,55.10,48.50,40.25,38.60,32.00,53.45,0.75,0.25,stat(bullet_velocity;0;0.8;500;2000),0.00,0.80,500,"2,000","1,143",0.34,23,calibers.csv,-4.70,5.18,-0.80,-1.80,-2.63,-4.75
