balancing.csv inputs,,,,,,,,,,,calibers.csv damage inputs,,,,,,,calculated torso damage by range,,,,,,,,calibers.csv traits & penetration inputs,,,,,,,penetration model,,source audit,,weighted score,,,,,
name,pretty_name,ergonomics,weight,horizontal_recoil,vertical_recoil,barrel_deviation,bullet_damage,bullet_velocity,fire_rate,price,damage_torso_a,damage_torso_b,damage_torso_c,damage_torso_d,damage_arm_d,damage_leg_d,damage_head_d,damage_25,damage_75,damage_150,damage_250,damage_375,damage_400,damage_500,weighted_damage,velocity_drop,suppression,bullet_penetration_ability,pen_low,pen_high,pen_velocity_low,pen_velocity_high,effective_velocity,penetration,calibers_row,source_file,balance_score,damage_score,velocity_drop_score,suppression_score,penetration_score,strength
5.56x45_federal_m193_55gr_fmjbt,Federal M193 55gr FMJ,0,0.00,0,0,0.00,,0,,0,-0.026,54,54,1,0.3,0.5,2.5,53.35,52.05,50.10,47.50,44.25,43.60,41.00,49.45,0.45,0.75,stat(bullet_velocity;0.35;1.15;1500;3000),0.35,1.15,"1,500","3,000","2,343",0.80,36,calibers.csv,0.00,-0.82,-0.20,-0.30,-0.80,-2.13
5.56x45_appalachian_m855_62gr_fmj,Appalachian M855 62gr FMJ,0,0.04,1,0,0.05,,-100,,1000,-0.028,56,55.5,1,0.3,0.5,2.5,55.30,53.90,51.80,49.00,45.50,44.80,42.00,51.10,0.40,0.80,stat(bullet_velocity;0.45;1.25;1500;3000),0.45,1.25,"1,500","3,000","2,243",0.85,38,calibers.csv,-2.60,1.65,-0.10,-0.15,-0.61,-1.81
5.69x44_laccio_223rose_field_dynamics_40gr_vmax,Laccio .223Rose Field Dynamics 40gr VMAX,0,-0.08,-2,-2,-0.05,,400,,1250,-0.03,54.5,54.5,1,0.3,0.5,2.5,53.75,52.25,50.00,47.00,43.25,42.50,39.50,49.25,0.60,0.50,stat(bullet_velocity;0;0.15;1500;3000),0.00,0.15,"1,500","3,000","2,743",0.12,35,calibers.csv,6.90,-1.13,-0.50,-1.05,-3.50,0.72
5.56x45_federal_m856a1_64gr_red_tracer,Federal M856A1 64gr Red Tracer,1,0.05,-1,-1,0.10,,-75,,1500,-0.024,54.5,55,1,0.3,0.5,2.5,53.90,52.70,50.90,48.50,45.50,44.90,42.50,50.30,0.40,1.05,stat(bullet_velocity;0.45;1.25;1500;3000),0.45,1.25,"1,500","3,000","2,268",0.86,37,calibers.csv,0.02,0.45,-0.10,0.60,-0.56,0.41
5.56x45_jgsdf_j3_62gr,JGSDF J3 62gr +P+,0,0.04,1,1,0.05,,50,,2000,-0.028,57,56,1,0.3,0.5,2.5,56.00,54.90,52.80,50.00,46.50,45.80,43.00,52.04,0.40,0.85,stat(bullet_velocity;0.45;1.25;1500;3000),0.45,1.25,"1,500","3,000","2,393",0.93,32,calibers.csv,-2.45,3.06,-0.10,0.00,-0.29,0.22
5.56x45_copperhead_mk262_mod1_77gr,Copperhead Mk.262 Mod1 SMK 77gr,0,0.11,2,1,-0.20,,-200,,2500,-0.022,58,58,1,0.3,0.5,2.5,57.45,56.35,54.70,52.50,49.75,49.20,47.00,54.15,0.25,0.85,stat(bullet_velocity;0;0.35;1500;3000),0.00,0.35,"1,500","3,000","2,143",0.15,28,calibers.csv,-3.40,6.23,0.20,0.00,-3.40,-0.37
5.56x45_appalachian_mk318_mod0_62gr_sost,Appalachian Mk.318 Mod0 62gr SOST,0,0.04,1,0,-0.05,,-125,,2750,-0.03,58.5,58,1,0.3,0.5,2.5,57.75,56.25,54.00,51.00,47.25,46.50,43.50,53.25,0.40,0.80,stat(bullet_velocity;0.2;1;1500;3000),0.20,1.00,"1,500","3,000","2,218",0.58,34,calibers.csv,-1.73,4.88,-0.10,-0.15,-1.67,1.23
5.56x45_anhalt_patrone_dm51_dea_55gr,Anhalt Patrone DM51/DEA 55gr,1,0.00,2,1,0.20,,100,,3000,-0.056,60,60,1,0.35,0.55,2.5,58.60,55.80,51.60,46.00,39.00,37.60,32.00,50.20,0.50,0.75,stat(bullet_velocity;0;0.5;1500;3000),0.00,0.50,"1,500","3,000","2,443",0.31,30,calibers.csv,-2.70,0.30,-0.30,-0.30,-2.74,-5.74
5.56x45_emmeo_m995_52gr_ap,Emmeo M995 52gr AP,-1,-0.02,1,0,-0.05,,50,,3500,-0.02,53,52,1,0.2,0.4,2.5,52.00,51.50,50.00,48.00,45.50,45.00,43.00,49.40,0.45,0.75,stat(bullet_velocity;0.85;1.65;1500;3000),0.85,1.65,"1,500","3,000","2,393",1.33,29,calibers.csv,-0.65,-0.90,-0.20,-0.30,1.31,-0.74
5.56x45_cae_l31a1_62gr_enhanced_performance,CAe L31A1 62gr Enhanced Performance,-1,0.04,0,1,-0.10,,-50,,3750,-0.022,56,54.5,1,0.25,0.45,2.5,54.50,54.35,52.70,50.50,47.75,47.20,45.00,51.96,0.35,0.80,stat(bullet_velocity;0.65;1.45;1500;3000),0.65,1.45,"1,500","3,000","2,293",1.07,31,calibers.csv,-1.65,2.94,0.00,-0.15,0.29,1.43
5.56x45_appalachian_m855a1_62gr_epr,Appalachian M855A1 62gr EPR,-1,0.04,1,1,-0.15,,-50,,4000,-0.02,56,55,1,0.25,0.45,2.5,55.00,54.50,53.00,51.00,48.50,48.00,46.00,52.40,0.35,0.80,stat(bullet_velocity;0.6;1.4;1500;3000),0.60,1.40,"1,500","3,000","2,293",1.02,39,calibers.csv,-1.95,3.60,0.00,-0.15,0.09,1.59
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
