,,new,,,,,,,,,,,,,,,,,,,,,,,,
name,pretty_name,ergonomics,weight,horizontal_recoil,vertical_recoil,magazine_capacity,barrel_deviation,bullet_damage,bullet_velocity,buck_barrel_deviation,fire_rate,price,strength,,base,length,mod,old weight,gas,new weight,dev,,irl price,,,
cmmg_ar_15_5.56x45_610mm_fluted_r_barrel,"CMMG 24"" Fluted AR-15 Rifle Length Gastube 5.56x45",-12,0.97,-16,-16,,-0.32,0.4,262,,-0.06,5000,-2.526666667,,0.18,24,0,1.02,0.04,0.988,-0.4275,,349.95,2099.7,,
whtnls_a1_m4a1_5.56x45_508mm_govt_r_barrel,"Brownells A1 Government 20"" Rifle Length Gastube 5.56x45",-9,0.84,-10,-10,,-0.24,0.26,179,,-0.06,1600,-7.403333333,,0.18,20,,0.88,0.04,0.84,-0.2475,,344.99,2069.94,,0.806818182
whtnls_m4a1_5.56x45_508mm_hbar_r_barrel,"Brownells HBAR 20"" Rifle Length Gastube 5.56x45",-10,0.94,-11,-12,,-0.26,0.26,191,,-0.06,2000,-8.263333333,,0.18,20,0.1,0.98,0.04,0.94,-0.2475,,349.99,2099.94,,
ex_call_ar_15_.223wylde_457mm_spiral_6groove_m_barrel,"X-Caliber Custom 18"" Spiral 6 Groove Mid Length Gastube .223 Wylde",-7,0.72,-9,-9,,-0.15,0.16,131,,-0.03,1800,-6.013333333,,0.15,18,-0.04,0.74,0.03,0.716,-0.1575,,372,2232,,
whtnls_m4a1_5.56x45_406mm_govt_m_barrel,"Brownells Government 16"" Mid Length Gastube 5.56x45",-4,0.68,-7,-7,,-0.05,0.1,108,,-0.03,1100,-6.19,,0.15,16,,0.71,0.03,0.682,-0.0675,,329.99,1979.94,,
whtnls_m4a1_5.56x45_406mm_socom_c_barrel,"Brownells Socom 16"" Carbine Length Gastube 5.56x45",-3,0.71,-6,-6,,-0.07,0.12,78,,,1200,-6.99,,0.12,16,0.04,0.72,0.02,0.712,-0.0675,,279.99,1679.94,,
hart_m4a1_5.56x45_368mm_socom_c_barrel,"Hart Socom 14.5"" Carbine Length Gastube 5.56x45",-1,0.65,-5,-5,,-0.02,0.04,45,,,800,-6.35,,0.12,14.5,0.04,0.67,0.02,0.6565,0,,349,2094,,
hart_m4a1_5.56x45_368mm_govt_c_barrel,"Hart Government 14.5"" Carbine Length Gastube 5.56x45",0,0.61,-4,-4,,0,0.02,33,,,0,-6.29,,0.12,14.5,,0.63,0.02,0.6165,0,,,0,,
pac_ks1_5.56x45_348mm_heavy_dimpled_m_barrel,"KAC KS-1 (L403A1) Heavy Dimpled 13.7"" Mid Length Gastube 5.56x45",1,0.61,-5,-4,,0.03,-0.01,37,,-0.03,2000,-4.926666667,,0.15,13.7,0.02,0.65,0.03,0.6169,0.036,,,,,
