,,old,,,,,,,,,,,,,new,,,,,,,,,,,,,,,,,
name,pretty_name,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,,ergonomics,weight,horizontal_recoil,vertical_recoil,magazine_capacity,bullet_deviation,bullet_damage,bullet_velocity,buck_bullet_deviation,fire_rate,price,strength,,loaded weight (oz),unloaded weight (oz),formula,,
5.56x45_magpul_pmag_m3_10r,Magpul PMAG M3 5.56x45 10R,14,0.13,,,10,,,,,,500,19.09230769,,11,0.17,,,10,,,,,,500,15.29230769,,7.2,3,0.1728,,
5.56x45_steyr_aug_austrian_10r,Steyr AUG A3 Austrian 5.56x45 10R,10,0.15,,,10,,,,,,500,14.69230769,,11,0.18,,,10,,,,,,500,15.09230769,,,,0,,
5.56x45_magpul_pmag_m3_20r,Magpul PMAG M3 5.56x45 20R,3,0.25,,,20,,,,,,750,13.38461538,,6,0.3,,,20,,,,,,750,15.38461538,,12.5,4.1,0.3,,
5.56x45_brwnls_stanag_ss_20r,Brownells STANAG SS Mag 5.56x45 20R,5,0.3,,,20,,,,,,600,14.38461538,,5,0.27,,,20,,,,,,600,14.98461538,,11.2,2.8,0.2688,,
5.56x45_brwnls_stanag_25r,Brownells STANAG Mag 5.56x45 25R,2.5,0.38,,,25,,,,,,750,14.13076923,,3,0.36,,,25,,,,,,750,15.03076923,,,,0,,
5.56x45_colt_ar15_stanag_30r,Colt STANAG AR15 30R,-1,0.45,,,30,,,,,,500,13.07692308,,0,0.41,,,30,,,,,,500,14.87692308,,17,,0.408,,
5.56x45_magpul_pmag_m3_30r,Magpul PMAG M3 5.56x45 30R,-1,0.4,,,30,,,,,,1000,14.07692308,,1,0.43,,,30,,,,,,1000,15.47692308,,17.7,5.1,0.4248,,
5.56x45_magpul_pmag_m3_windowed_30r,Magpul PMAG M3 5.56x45 Windowed 30R,1,0.39,,,30,,,,,,1500,16.27692308,,1,0.42,,,30,,,,,,1500,15.67692308,,,,0,,
5.56x45_magpul_pmag_aus_gen_m3_windowed_30r,Magpul PMAG AUS Gen M3 5.56x45 Windowed 30R,0,0.42,,,30,,,,,,1500,14.67692308,,1,0.43,,,30,,,,,,1500,15.47692308,,,,0,,
