,,new,,,,,,,,,,,
name,pretty_name,ergonomics,weight,horizontal_recoil,vertical_recoil,magazine_capacity,barrel_deviation,bullet_damage,bullet_velocity,buck_barrel_deviation,fire_rate,price,strength
onyx_gmt_halo,Onyx GMT Halo,-5,0.22,-15,-16,,-0.1,0.1,100,,,1300,14.03333333
pac_qdss_nt4_5.56x45_suppressor,PAC QDSS NT-4 5.56x45,-5,0.33,-16,-20,,-0.15,0.1,90,,,1900,15.25
ss_lrs1_suppressor,Spike's Tactical Lrs-1,-5,0.33,-12,-22,,-0.2,0.1,100,,,1200,13.53333333
adw_qd,Axtell Defence Wave QD,-6,0.28,-17,-19,,-0.2,0.1,90,,,1200,15.7
tb_9,Thunder Beast Ultra 9,-5,0.18,-17,-14,,-0.2,0.08,90,,,1400,15.5
pac_qdc_crs_prt_5.56x45_suppressor,PAC QDC/CRS PRT 5.56 Suppressor,-5,0.31,-18,-18,,-0.15,0.08,90,,,2000,15.85
centrefire_socom556_rc2_suppressor,CentreFire SOCOM556-RC2 Fast-Attach,-4,0.28,-18,-16,,-0.1,0.08,80,,,1500,15.96666667
zetac_cqb_suppressor,ZETAC Cqb 5.56x45,-4,0.35,-15,-20,,-0.15,0.08,70,,,1600,14.78333333
onyx_1_762,Onyx One 7.62,-5,0.27,-19,-14,,-0.1,0.06,90,,,1400,14.6
steyr_breezer_ums_5.56x45_aug_suppressor,Steyr Breezer UMS 5.56 AUG Suppressor,-3,0.29,-16,-18,,-0.1,0.06,65,,,1800,16.11666667
tb_7,Thunder Beast Ultra 7,-3,0.15,-15,-14,,-0.1,0.06,70,,,1300,15.73333333
pac_qdc_mcq_prt_5.56x45_suppressor,PAC QDC/MRQ PRT 5.56 Suppressor,-2,0.23,-15,-15,,-0.1,0.04,60,,,1800,15.5
tb_5,Thunder Beast Ultra 5,-1,0.12,-14,-12,,-0.05,0.04,50,,,1200,15.81666667
zetac_cqbm_suppressor,ZETAC Cqbm 5.56x45,-2,0.3,-13,-19,,-0.05,0.04,50,,,1500,14.61666667
jt_5.5inch_flashsuppressor,"JT 5.5"" Flash Suppressor",1,0.13,-8,-18,,0,0.02,40,,,300,15.93333333
steyr_aug_a1_tulip_5.56x45_closed_flash_hider,Steyr AUG A1 Tulip 5.56x45 Closed,1,0.08,-13,-11,,0,0.02,50,,,,16.76666667
centrefire_warden_blast_regulator,Centrefire Warden Blast Regulator,0,0.15,-15,-11,,0,0.02,40,,,1000,15.93333333
onyx_adapter,Onyx One,0,0.06,-7,-8,,0.05,0.02,20,,,300,9.216666667
ss_combo_mount,Spike's Tatical combo mount,-1,0.1,-10,-16,,0.05,0.02,30,,,500,14.65
smite_industries_oppressor_blast_shield,Strike Industries Oppressor Blast Shield,0,0.17,-13,-14,,0,0.02,20,,,1000,15.66666667
steyr_aug_a3_5.56x45_original_closed_muzzle_brake,Steyr AUG A3 5.56 Original Closed Flash Hider,0,0.1,-13,-14,,0,0,0,,,750,16.8
annihilator_556,Annihilator 5.56,1,0.1,-11,-16,,0.05,0,0,,,500,17.15
pac_qdc_3prong_flash_5.56x45_eliminator,PAC QDC 3prong Flash Eliminator 5.56,2,0.07,-12,-12,,0.05,0,0,,,600,17.15
kaleva_corvette_556,Nordic Corvette 5.56x45,0,0.08,-15,-11,,0.05,0,0,,,400,16.75
steyr_aug_a3_5.56x45_closed_flash_hider,Steyr AUG A3 5.56x45 Closed,1,0.09,-12,-13,,0.05,0,60,,,500,16.55
smite_industries_jcomp_gen2_5.56x45_muzzle_brake,Smite Industries JCOMP Gen2 5.56x45 Muzzle Brake,-1,0.08,-13,-16,,0.05,0,0,,,500,17.15
centrefire_socom556_sfmb_muzzle_brake,Centrefire SOCOM556 SFMB Muzzle Break,-1,0.09,-17,-11,,0.05,0,0,,,700,17.15
centrefire_warcomp_5.56x45_flash_hider,Centrefire WarComp 5.56x45,1,0.09,-13,-13,,0.05,0,0,,,700,17.15
troy_claymore556,TROY Claymore 5.56x45,2,0.1,-10,-15,,0.05,0,0,,,500,16.75
aeroknox_ae01_muzzle_brake,Aeroknox AE/01,-1,0.1,-16,-13,,0.1,0,0,,,600,17.1
strelets_st_6012,Stelets ST-6012 5.56x45,-1,0.09,-18,-10,,0.1,0,0,,,400,17.1
hart_607_car15_3.5inch_flash_moderator,"Hart 607 CAR-15 3.5"" Flash Moderator",2,0.12,-11,-12,,0.1,0,0,,,500,15.1
jg_usgi_a2_birdcage_m4a1_flash_hider,JG Standard birdcage M4A1,2,0.06,-9,-9,,0.1,0,0,,,0,12.9
pac_qdc_m4qd_5.56x56_flash_suppressor,PAC QDC M4QD 5.56x45,2,0.07,-9,-15,,0.1,0,0,,,500,16.3
tb_mount_223_mb,Thunder Beast 223CB,0,0.08,-14,-12,,0.1,0,0,,,400,16.3
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0
