,,new,,,,,,,,,,,,,IN OUNCES!!!!,,
name,pretty_name,ergonomics,weight,horizontal_recoil,vertical_recoil,magazine_capacity,bullet_deviation,bullet_damage,bullet_velocity,buck_bullet_deviation,fire_rate,price,strength,,loaded weight,unloaded weight,calculated (loaded)
7.62x39_izhmash_akm_ribbed_1955_30r_mag,Izhmash AKM Ribbed 1955 30R Magazine,1,0.65,,,30,,,,,,500,-12,,,11,28.248968
izhmash_akm_steel_magazine_bottom_plate,Izhmash AKM Steel Magazine Bottom Plate,0,0.02,,,,,,,,,0,-0.4,,,,
7.62x39_akms_aluminium_30r_mag,AKMS Aluminium 7.62x39 30R,0,0.58,,,30,,,,,,750,-11.6,,,6.72,23.968968
7.62x39_izhmash_akm_6l10_30r_mag,Izhmash AKM 6L10 7.62x39 30R,1,0.63,,,30,,,,,,800,-11.6,,,8.48,25.728968
7.62x39_promag_ak47_polymer_mag_30r,ProMag AK-47 7.62x39 Polymer Magazine 30R,0.5,0.6,,,30,,,,,,1000,-11.5,,,10?,27.328968
7.62x39_magpul_pmag_akm_30r,Magpul PMAG AK/AKM 7.62x39 30R,0,0.55,,,30,,,,,,1200,-11,,,6.5,23.748968
magpul_pmag_ak74/akm_bottom_plate,Magpul PMAG AK74/AKM,0,0.02,,,,,,,,,0,-0.4,,,,
magpul_ranger_ak74/akm_bottom_plate,Magpul Ranger AK74/AKM,1,0.05,,,,,,,,,200,0,,,,
7.62x39_promag_ak47_polymer_mag_40r,ProMag AK-47 7.62x39 Polymer Magazine 40R,-6,0.78,,,40,,,,,,1500,-21.6,,,,
7.62x39_ati_schmeisser_ak47_windowed_60r_mag,ATI Schmeisser AK47 Windowed 60R Magazine,-10,1.09,,,60,,,,,,3500,-31.8,,,11.2?,45.697936
7.62x39_rwb_ak47_75r_drum_mag,RWB AK47 75R Drum Magazine,-13,1.51,,,75,0.05,,,,,5000,-42.95,,,40?,80?
7.62x39_rwb_ak47_100r_drum_mag,RWB AK47 100R Drum Magazine,-17,1.86,,,100,0.05,,,,,6000,-53.95,,,46.4?,100?
,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
