balancing.csv inputs,,,,,,,,,,,,calibers.csv damage inputs,,,,,,,calculated torso damage by range,,,,,,,,calibers.csv traits & penetration inputs,,,,,,,penetration model,,source audit,,weighted score,,,,,
name,pretty_name,ergonomics,weight,horizontal_recoil,vertical_recoil,barrel_deviation,bullet_damage,bullet_velocity,fire_rate,muzzle_loudness,price,damage_torso_a,damage_torso_b,damage_torso_c,damage_torso_d,damage_arm_d,damage_leg_d,damage_head_d,damage_25,damage_75,damage_150,damage_250,damage_375,damage_400,damage_500,weighted_damage,velocity_drop,suppression,bullet_penetration_ability,pen_low,pen_high,pen_velocity_low,pen_velocity_high,effective_velocity,penetration,calibers_row,source_file,balance_score,damage_score,velocity_drop_score,suppression_score,penetration_score,strength
9x19_roosevelt_umc_115gr_fmj,Roosevelt UMC 115gr FMJ ,0,0.00,0,0,0.00,,0,,,0,-0.07,39,38.5,1,0.3,0.5,3,37.25,33.75,28.50,21.50,38.50,38.50,38.50,31.65,0.60,0.40,stat(bullet_velocity;0;0.4;500;2000),0.00,0.40,500,"2,000","1,139",0.17,59,calibers.csv,0.00,-2.52,0.00,0.00,0.08,-2.44
9x19_pulsar_119gr_green_tracer,Pulsar 119gr Green Tracer,2,0.01,-1,-1,0.10,,0,,,500,-0.074,39,38.5,1,0.3,0.5,3,37.15,33.45,27.90,20.50,38.50,38.50,38.50,31.23,0.65,0.60,stat(bullet_velocity;0;0.3;500;2000),0.00,0.30,500,"2,000","1,139",0.13,65,calibers.csv,2.20,-3.15,0.10,0.60,-0.09,-0.34
9x19_btv_scorpio_nato_115gr_fmj,BVT Scorpio NATO 115gr FMJ +P,-1,0.00,1,1,-0.10,,100,,,1000,-0.066,39.5,38.5,1,0.3,0.5,3,37.85,34.55,29.60,23.00,38.50,38.50,38.50,32.57,0.60,0.45,stat(bullet_velocity;0;0.4;500;2000),0.00,0.40,500,"2,000","1,239",0.20,69,calibers.csv,-0.90,-1.14,0.00,0.15,0.19,-1.70
9x19_appalachian_m882_124gr_fmj,Appalachian M882 124gr FMJ +P,0,0.02,2,1,-0.05,,50,,,1250,-0.074,41,39.5,1,0.3,0.5,3,39.15,35.45,29.90,22.50,39.50,39.50,39.50,33.23,0.50,0.45,stat(bullet_velocity;0;0.5;500;2000),0.00,0.50,500,"2,000","1,189",0.23,62,calibers.csv,-1.85,-0.15,-0.20,0.15,0.32,-1.73
9x19_appalachian_m1152_115gr_fmjfn,Appalachian M1152 115gr FMJ-FN +P+,-2,0.00,3,2,-0.20,,200,,,3000,-0.064,41,40,1,0.3,0.5,3,39.40,36.20,31.40,25.00,40.00,40.00,40.00,34.28,0.70,0.50,stat(bullet_velocity;0.05;0.55;500;2000),0.05,0.55,500,"2,000","1,339",0.33,63,calibers.csv,-2.60,1.43,0.20,0.30,0.72,0.04
9x19_appalachian_xm1153_147gr_jhp,Appalachian XM1153 147gr JHP,-1,0.08,2,3,-0.10,,-100,,-0.2,3500,-0.084,43,43,1,0.4,0.6,3,40.90,36.70,30.40,22.00,43.00,43.00,43.00,34.18,0.55,0.20,stat(bullet_velocity;0;0.25;500;2000),0.00,0.25,500,"2,000","1,039",0.09,61,calibers.csv,-4.50,1.28,-0.10,-0.60,-0.24,-4.17
9x19_appalachian_mk254_mod0_90gr_frangible,Appalachian Mk.254 Mod0 90gr Frangible,0,-0.06,-3,-2,0.00,,100,,,750,-0.078,38.5,43,1,0.3,0.5,3,36.55,32.65,26.80,19.00,38.50,38.50,38.50,30.31,0.70,0.35,stat(bullet_velocity;0;0.05;500;2000),0.00,0.05,500,"2,000","1,239",0.02,60,calibers.csv,5.30,-4.53,0.20,-0.15,-0.50,0.32
9x19_zfm_luger_154gr_fmjfp_subsonic,ZFM Luger 154gr FMJ-FP Subsonic,3,0.10,0,0,0.05,,-250,,-0.6,2750,-0.108,42.5,43,1,0.3,0.5,3,39.80,34.40,26.30,15.50,42.50,42.50,42.50,31.16,0.60,0.10,stat(bullet_velocity;0;0.5;500;2000),0.00,0.50,500,"2,000",889,0.13,64,calibers.csv,2.25,-3.26,0.00,-0.90,-0.08,-1.99
9x19_s2_research_9mm_rip_92gr_fhp,S2 Research RIP 92gr FHP,1,-0.06,0,-2,0.05,,100,,,1500,-0.088,41,42,1,0.45,0.65,3,38.80,34.40,27.80,19.00,41.00,41.00,41.00,31.76,0.75,0.35,stat(bullet_velocity;0;0.15;500;2000),0.00,0.15,500,"2,000","1,239",0.07,67,calibers.csv,3.40,-2.36,0.30,-0.15,-0.30,0.89
9x19_novosibirsk_7n21_80gr_pst,Novosibirsk 7N21 80gr PST,-1,-0.09,-1,-1,-0.10,,300,,,2000,-0.062,37,36.5,1,0.3,0.5,3,35.45,32.35,27.70,21.50,36.50,36.50,36.50,30.49,0.65,0.30,stat(bullet_velocity;0.1;0.6;500;2000),0.10,0.60,500,"2,000","1,439",0.41,66,calibers.csv,4.70,-4.26,0.10,-0.30,1.05,1.29
