,,new,,,,,,,,,,,,,,,,,
name,pretty_name,ergonomics,weight,horizontal_recoil,vertical_recoil,magazine_capacity,barrel_deviation,bullet_damage,bullet_velocity,buck_barrel_deviation,fire_rate,price,strength,,loaded weight (oz),unloaded weight (oz),formula,,
kosch_9x19_17r_magazine,KOSCH 9x19 17R,0,0.21,,,17,,,,,,1000,8.876923077,,9.7,,0.2334,,
kosch_9x19_31r_stick_magazine,KOSCH 9x19 31R Stick,-6,0.39,,,31,,,,,,1000,10.04615385,,18.4,,0.4248,,
fst_kosch_9x19_50r_drum_magazine,SGM Tactical PF940 17 50R 9x19 Drum,-10,0.9,,,50,,,,,,3000,10.46153846,,44.6,,1.0012,,
kosch_default_9x19_mag_plate,KOSCH Default 9x19 Magazine Plate,0,0.02,,,,,,,,,0,-0.4,,,,0.02,,
,,,,,,,,,,,,,0,,,,0.02,,
9x19_pf940_std_17r_vector,PF940 9x19 17R,0,0.21,,,17,,,,,,500,8.876923077,,,,0.02,,
9x19_sgmt_drum50r_vector,SGMT 9x19 50R Drum,-6,0.9,,,50,,,,,,3000,14.46153846,,,,0.02,,
vector_17r_plate,Magazine,0,0.02,,,,,,,,,1000,-0.4,,,,0.02,,
9x19_kriss_magex2_vector,9x19 KALIS MagEx2 For PF940 (+23 Rounds),-8,0.3,,,23,,,,,,1000,3.692307692,,,,0.02,,
,,,,,,,,,,,,,0,,,,0.02,,
pf940_gen5_9x19_17r_magazine,PF940 17 Gen5 17R 9x19,0,0.2,,,17,,,,,,500,9.076923077,,11,,0.262,,
9x19_glock_stick_31r,Glock 9x19 31R Stick,-3,0.35,,,31,,,,,,1000,13.84615385,,,,0.02,,
9x19_glock_stick_31r_vector,PF940 9x19 31R Stick,16,0.26,,,29,,,,,,1000,33.10769231,,,,0.02,,
9x19_sgmt_50r_drum,SGMT 9x19 50R Drum,-7,0.7,,,50,,,,,,3000,17.46153846,,,,0.02,,
9x19_kriss_magex2_glock,9x19 KRISS MagEx2 For Glock (+23 Rounds),-8,0.3,,,23,,,,,,1000,3.692307692,,,,0.02,,
,,,,,,,,,,,,,0,,,,0.02,,
whitner_defense_edc_x9_mag_bottomplate,Whitner Defense EDC X9 Magazine,0,0.02,,,,,,,,,0,-0.4,,,,0.02,,
whitner_defense_edc_x9_18r_magazine,Whitner Defense EDC X9 Std. 18r,0,0.22,,,18,,,,,,1000,9.446153846,,,,0.02,,
whitner_defense_edc_x9_15r_magazine,Whitner Defense EDC X9 Std. 15r,2,0.19,,,15,,,,,,500,9.738461538,,,,0.02,,
whitner_defense_edc_x9_10r_magazine,Whitner Defense EDC X9 Std. 10r,5,0.14,,,10,,,,,,0,9.892307692,,,,0.02,,
,,,,,,,,,,,,,0,,,,0.02,,
sig_sauer_p320_mag_bottom_plate,Sic Stürmer P320 Mag,0,0.02,,,,,,,,,0,-0.4,,,,0.02,,
sig_sauer_p320_9x19_17r_mag,Sic Stürmer P320 9x19 17R,0,0.22,,,17,,,,,,0,8.676923077,,10.6,,0.2532,,
sig_sauer_p320_9x19_21r_mag,Sic Stürmer P320 9x19 21R,-2,0.28,,,21,,,,,,2000,8.553846154,,13.2,,0.3104,,
sig_sauer_p320_9x19_30r_mag,Sic Stürmer P320 9x19 30R,-6,0.4,,,30,,,,,,4000,9.076923077,,19,,0.438,,
,,,,,,,,,,,,,0,,,,0.02,,
hk_ump9_9x19_30r_mag,UMC-9 9x19 30R,0,0.38,,,30,,,,,,500,15.47692308,,,,0.02,,
,,,,,,,,,,,,,0,,,,0.02,,
kazarov_pp-19-01_mag_bottom_plate,Kazarov PP-19-01,0,0.02,,,,,,,,,0,-0.4,,,,0.02,,
kazarov_pp-19-01_vityaz_9x19_30r_mag,Kazarov PP-19-01 Vityaz 9x19 30R,0,0.34,,,30,,,,,,0,16.27692308,,,,0.02,,
kazarov_saiga_9_9x19_pinned_10r_mag,Kazarov Saiga-9 9x19 Pinned 10R,9,0.15,,,10,,,,,,200,13.69230769,,,,0.02,,
kalashnikov_usa_kp9_9x19_50r_drum_mag,Kazarov USA KP9 9x19 50R Drum,-6,0.85,,,50,,,,,,3000,15.46153846,,42,,0.944,,
,,,,,,,,,,,,,0,,,,0.02,,
hk_mp5_std_mag_plate,MPi-54 Std. Curved Mag,0,0.02,,,,,,,,,0,-0.4,,,,0.02,,
hk_mp5_std_curved_30r_9x19_magazine,MPi-54 Std. Curved 9x19 30R Mag,0,0.35,,,30,,,,,,0,16.07692308,,17,,0.394,,
hk_mp5_straight_30r_9x19_magazine,MPi-54 Straight 9x19 30R Mag,1,0.37,,,30,,,,,,500,16.67692308,,,,0.02,,
cartesia_productions_mp5_50r_9x19_drum,Cartesia Productions MPi-54 9x19 50R Drum,-6,0.83,,,50,,,,,,3000,15.86153846,,40,,0.9,,
,,,,,,,,,,,,,0,,,,0.02,,
steyr_aug_para_mp88_9x19_25r_mag,Löwenherz AUG MP88 9x19 25R,0,0.34,,,25,,,,,,500,12.43076923,,,,0.02,,
steyr_mpi_69_81_9x19_32r_mag,Löwenherz MPi 69/81 9x19 32R,-4,0.39,,,32,,,,,,750,12.81538462,,,,0.02,,
roch_custom_steyr_aug_9x19_40r_mag,Roch Custom Löwenherz AUG Para 9x19 40R,-8,0.5,,,40,,,,,,1000,12.76923077,,22,,0.504,,
,,,,,,,,,,,,,0,,,,0.02,,
hart_32rd,Hart 9x19 32rnd,0,0.39,,,32,,,,,,0,16.81538462,,,,0.02,,
evermag_hart_ar9_20r_mag,EVERMAG Hart AR-9 20Rnd,6,0.27,,,20,,,,,,400,15.98461538,,,,0.02,,
evermag_hart_ar9_10r_mag,EVERMAG Hart AR-9 10Rnd,10,0.13,,,10,,,,,,200,15.09230769,,,,0.02,,
custom_hart_smg_9x19_50r_mag,Custom Hart SMG 9x19 50rnd Magazine,-15,0.77,,,50,,,,,,5000,8.061538462,,,,0.02,,
tyler_freelance_hart_smg_10r_mag_extension,Tyler Freelance Hart SMG 10R Mag Extension,-6,0.12,,,10,,,,,,1000,-0.707692308,,,,0.02,,
custom_hart_smg_9x19_50r_extension,Custom Hart SMG 9x19 50R Extension,-45,0.57,,,50,,,,,,5000,-17.93846154,,,,0.02,,
custom_hart_smg_mag_coupler,Custom Hart SMG 9x19,-2,0.1,,,,,,,,,0,-4,,,,0.02,,
,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
