balancing.csv inputs,,,,,,,,,,,,calibers.csv damage inputs,,,,,,,calculated torso damage by range,,,,,,,,calibers.csv traits & penetration inputs,,,,,,,penetration model,,source audit,,weighted score,,,,,
name,pretty_name,ergonomics,weight,horizontal_recoil,vertical_recoil,barrel_deviation,bullet_damage,bullet_velocity,fire_rate,muzzle_loudness,price,damage_torso_a,damage_torso_b,damage_torso_c,damage_torso_d,damage_arm_d,damage_leg_d,damage_head_d,damage_25,damage_75,damage_150,damage_250,damage_375,damage_400,damage_500,weighted_damage,velocity_drop,suppression,bullet_penetration_ability,pen_low,pen_high,pen_velocity_low,pen_velocity_high,effective_velocity,penetration,calibers_row,source_file,balance_score,damage_score,velocity_drop_score,suppression_score,penetration_score,strength
9x18_novosibirsk_57_n_181s_92gr_pst,Novosibirsk 57-N-181S 92gr PST,0,0.00,0,0,0.00,,0,,,0,-0.062,37.5,36,1,0.3,0.5,3.5,35.95,32.85,28.20,22.00,14.25,12.70,6.50,30.99,0.65,0.30,stat(bullet_velocity;0;0.3;500;2000),0.00,0.30,500,"2,000",900,0.08,65,calibers.csv,0.00,-3.51,0.30,-0.60,-0.48,-4.29
9x18_novosibirsk_57_t_181_56gr_red_tracer,Novosibirsk 57-T-181 56gr Red Tracer,1,-0.04,-1,-1,0.10,,100,,,500,-0.062,35.5,35,1,0.3,0.5,3.5,33.95,30.85,26.20,20.00,12.25,10.70,4.50,28.99,0.70,0.45,stat(bullet_velocity;0;0.15;500;2000),0.00,0.15,500,"2,000","1,000",0.05,66,calibers.csv,2.70,-6.51,0.40,-0.15,-0.60,-4.16
9x18_underworld_xtreme_penetrator_95gr_sm,Underworld Xtreme Penetrator 95gr SM,-1,0.01,1,1,-0.05,,50,,,1000,-0.064,39,36,1,0.3,0.5,3.5,36.00,34.20,29.40,23.00,15.00,13.40,7.00,31.86,0.55,0.30,stat(bullet_velocity;0;0.4;500;2000),0.00,0.40,500,"2,000",950,0.12,68,calibers.csv,-1.85,-2.21,0.10,-0.60,-0.32,-4.88
9x18_bison_caliber_115gr_hcfn,Bison Caliber 115gr HCFN +P,-2,0.03,1,2,0.05,,150,,,1500,-0.078,41.5,40.5,1,0.35,0.55,3.5,39.55,35.65,29.80,22.00,12.25,10.30,2.50,33.31,0.60,0.35,stat(bullet_velocity;0;0.5;500;2000),0.00,0.50,500,"2,000","1,050",0.18,69,calibers.csv,-4.35,-0.03,0.20,-0.45,-0.07,-4.70
9x18_hawthorne_xtp_95gr_jhpfb,Hawthorne XTP 95gr JHPFB,-1,0.01,2,2,0.00,,50,,,1500,-0.094,43.5,44,1,0.4,0.6,3.5,41.15,36.45,29.40,20.00,8.25,5.90,0.00,33.63,0.65,0.30,stat(bullet_velocity;0;0.2;500;2000),0.00,0.20,500,"2,000",950,0.06,64,calibers.csv,-3.75,0.45,0.30,-0.60,-0.56,-4.16
9x18_tsniitekhmash_sp7_gzh_80gr,TsNIITekhMash SP7 gzh 80gr,-1,-0.02,3,1,0.10,,400,,0.1,2000,-0.122,45.5,45.5,1,0.4,0.6,3.5,42.45,36.35,27.20,15.00,0.00,0.00,0.00,32.69,0.75,0.25,stat(bullet_velocity;0;0.1;500;2000),0.00,0.10,500,"2,000","1,300",0.05,70,calibers.csv,-3.10,-0.96,0.50,-0.75,-0.59,-4.90
9x18_kazarov_7n25_pbm_56gr_ap,Kazarov 7N25 PBM 56gr AP,1,-0.04,1,-1,-0.10,,600,,0.1,2000,-0.058,33.5,31,1,0.3,0.5,3.5,31.00,29.15,24.80,19.00,11.75,10.30,4.50,27.10,0.50,0.20,stat(bullet_velocity;0.05;0.55;500;2000),0.05,0.55,500,"2,000","1,500",0.38,71,calibers.csv,5.10,-9.35,0.00,-0.90,0.73,-4.42
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
