,,new,,,,,,,,,,,
name,pretty_name,ergonomics,weight,horizontal_recoil,vertical_recoil,magazine_capacity,barrel_deviation,bullet_damage,bullet_velocity,buck_barrel_deviation,fire_rate,price,strength
hart_m4_std_carbine_plastic_handguard,Hart M4 Standard Carbine Length Plastic,14,0.2,-10,-10,,0.03,,,,,0,23.85
hart_a2_std_rifle_plastic_handguard,Hart M16A2 Rifle Length Plastic,12,0.29,-11,-16,,0.03,,,,,500,24.45
usgi_m16a1_triangle_handguard,USGI M16A1 Triangle,13,0.27,-10,-15,,0.03,,,,,600,24.45
hart_607_car15_triangle_7inch_handguard,"Hart 607 CAR-15 Triangle 7""",16,0.19,-8,-10,,0.03,,,,,550,24.45
calsport_lvoa_s_13.5inch_handguard,"Cal Sport LVOA-S 13.5""",9,0.32,-9,-14,,,,,,,900,18.2
calsport_lvoa_c_16.25inch_handguard,"Cal Sport LVOA-C 16.25""",7,0.36,-11,-16,,,,,,,950,18.2
mk10_rl_handguard,MK10RL,13,0.34,-12,-12,,,,,,,1000,23
ad_mk18_raf_2_9.55_handguard,AD Mk18 RAF 2 9.55,8,0.3,-11,-14,,,,,,,1000,19.2
ad_mk18_fsp_raf_2_9.55_handguard,AD MK18 FSP RAF 2 9.55,8,0.28,-11,-13,,,,,,,1000,19
ad_m4a1_raf_2_12.25_handguard,AD M4A1 RAF 2 12.25,6,0.35,-13,-16,,,,,,,1100,19
ad_m4a1_fsp_raf_2_12.25_handguard,AD M4A1 FSP RAF 2 12.25,6,0.33,-13,-15,,,,,,,1100,18.8
pac_ras_m4a1_handguard,PAC RAS,10,0.23,-6,-13,,0.03,,,,,700,17.85
pac_m5_ras_lower_handguard,"PAC M5 RAS 11.5"" Lower",,,,,,,,,,,0,0
pac_m5_ras_upper_handguard,"PAC M5 RAS 11.5"" Upper",8,0.34,-13,-13,,0.03,,,,,1200,19.25
pac_mre_free_float_ras_rifle_12inch_handguard,"PAC MRE RAS Free Float 12""",7,0.27,-11,-14,,,,,,,1400,18.8
pac_mre_standard_front_filler_tube,PAC MRE Standard Front Filler Tube,1,0.06,,,,,,,,,0,-0.2
