,,new,,,,,,,,,,,
name,pretty_name,ergonomics,weight,horizontal_recoil,vertical_recoil,magazine_capacity,barrel_deviation,bullet_damage,bullet_velocity,buck_barrel_deviation,fire_rate,price,strength
timber_creek_enforcer_pistol_grip,Timber Creek Enforcer,4,0.07,-1,-7,,,,,,,900,7.6
tactical_dynamics_anodized_skeletonized_ar15_pistol_grip,Tactical Dynamics Anodized Skeletonized AR-15 Pistol Grip,3,0.04,-3,-5,,,,,,,700,7.6
behemoth_tacticals_featureless_grip,Juggernaut tacticals featureless,0,0.05,-6,-1,,,,,,,700,4.4
hera_arms_cqr_gen1_pistol_grip_stock,CQR PGS,10,0.45,-13,-18,,,,,,,2000,22.2
gral_s_pistol_grip,Gral-S,3,0.07,-4,-5,,,,,,,500,7.8
fit_deluxe_ar15_suregrip,ERGO Deluxe AR-15 Suregrip,7,0.08,0,0,,,,,,,1500,5.4
fit_deluxe_suregrip_palm_shelf,ERGO Deluxe AR-15 Suregrip Palm Shelf,4,0.06,-1,1,,,,,,,200,3
pmm_scar_modified_grip_rogue,PMM SCAR Modified rogue Non-Beavertail,6,0.08,-2,-6,,,,,,,600,9.6
mcs_premier_avp_grip,MCS Premier AVP,9,0.06,0,-1,,,,,,,700,8.4
kf_ar15_battlegrip,KF AR15 Battlegrip,5,0.08,-5,-4,,,,,,,800,9.8
kf_ar15_battlegrip_beavertail,KF AR-15 Battlegrip Beavertail,6,0.09,-4,-4,,,,,,,800,9.8
hart_a2_pistol_grip,A2,6,0.08,-3,-3,,,,,,,0,8.6
hart_a1_pistol_grip,A1,5,0.07,-2,-3,,,,,,,500,7
hart_a1_chopped_pistol_grip,A1 Chopped,4,0.05,-1,-3,,,,,,,550,5.6
thordsen_frs_15_stock,Thordsen FRS-15,14,0.26,-6,-8,,,,,,,1500,18.4
magtap_moe_ar15_pistol_grip,Magpul MOE AR-15 Pistol Grip,7,0.1,-3,-4,,,,,,,800,9.8
magtap_moe_k2_ar15_pistol_grip,Magpul MOE-K2,7,0.1,-4,-3,,,,,,,800,10
magtap_moe_k2_scar_pistol_grip,Magpul MOE-K2 Modified,7,0.11,-4,-3,,,,,,,800,9.8
magtap_moe_scar_pistol_grip,Magpul MOE Scar Pistol Grip,7,0.11,-3,-4,,,,,,,800,9.6
hera_arms_cqr_gen2_pistol_grip,Hera Arms CQR Gen 2 Pistol Grip,3,0.14,-1,-6,,,,,,,1200,4.6
aeroknox_ax15_orion_pistol_grip,Aeroknox AX15 Orion Pistol Grip,9,0.09,-2,-1,,,,,,,1000,9.4
bcm_gunfighter_mod3_ar15_pistol_grip,BCM Gunfighter Mod 3 AR-15 Pistol Grip,8,0.09,-3,-2,,,,,,,750,9.8
pmm_bcm_gunfighter_mod3_scar_pistol_grip,PMM BCM Gunfighter Mod3 SCAR Pistol Grip,8,0.1,-3,-2,,,,,,,800,9.6
axtell_defense_pistol_grip_with_trigger_guard,Daniel Defense Pistol Grip w/ Trigger Guard,10,0.13,-2,-4,,,,,,,900,11.4
