,CURRENT,,,,,,,,,,,,,,,,,
name,pretty_name,ergonomics,weight,horizontal_recoil,vertical_recoil,magazine_capacity,barrel_deviation,bullet_damage,bullet_velocity,buck_barrel_deviation,fire_rate,price,strength score,,irl weight,weight formula,irl price,price formula
hera_arms_cqr_gen2_stock,Hera Arms CQR Gen2 Stock,10,0.33,-7,-11,,,,,,,1500,15.6,,19,0.456,129,
hera_arms_cqr_gen2_buttpad,Hera Arms CQR Gen2 Buttpad,1,0.05,-1,-1,,,,,,,0,1.4,,,0,,
hart_m4a1_receiver_endplate,Hart M4A1 Receiver Endplate,0,0.01,,,,,,,,,0,-0.2,,0.4,0.0096,,
hart_607_car15_buffer_tube,Hart 607 CAR-15 Buffer Tube,-2,0.13,-1,-1,,,,,,,500,-3.2,,,0,,
hart_607_car15_stock,Hart 607 CAR-15 Stock,16,0.23,-8,-14,,,,,,,500,26.2,,,0,,
troy_m7a1_pdw_base_stock,Troy M7A1 PDW Base,-2,0.12,0,0,,,,,,,1000,-4.4,,14,0.336,479.99,
,,,,,,,,,,,,,0,,,0,,
troy_m7a1_pdw_extendable_stock,Troy M7A1 PDW Extendable Stock,21,0.15,-6,-7,,,,,,,800,27,,,0,,
leopard_atg_model_15_fixed_a2_ar15_stock,UTG A2 Fixed,11,0.44,-12,-18,,,,,,,700,22.6,,25,0.6,79.97,
mcs_lss_stock_adapter,MDT LSS Fixed,-1,0.04,,,,,,,,,100,-1.8,,,0,,
mcs_v5_skeleton_rifle_stock,MDT Skeleton V5,22,0.32,0,0,,-0.05,,,,,1200,15.85,,31.68,0.76032,399.95,
mcs_v5_skeleton_rifle_stock_short,MDT Skeleton V5 Short,22,0.3,0,0,,-0.05,,,,,1200,16.25,,31.68,0.76032,389.95,
mcs_buttpad,MDT V5,1,0.05,-1,-1,,,,,,,0,1.4,,,0,,
magtap_ubr_gen2_buffer,Magpul UBR Gen2 Receiver Extension,-1,0.14,-1,-2,,,,,,,400,-1.8,,,0,,
ubr_gen2_stock,Magpul UBR Gen2,14,0.29,-14,-8,,,,,,,700,24.2,,21.3,0.5112,199.95,
hart_a2_buffer,Hart A2,-2,0.15,-1,-1,,,,,,,300,-3.6,,,0,95,
magtap_prs_gen2_stock,Magpul PRS Gen2,20,0.38,-4,-15,,-0.05,,,,,1200,24.85,,31.4,0.7536,208.25,
hera_hrs_light_stock,Hera HRS Light Fixed,16,0.16,-7,-10,,,,,,,1000,24.4,,15.2,0.3648,59.9,
hart_m4a1_castlenut,Hart M4A1 Castle Nut,0,0.02,,,,,,,,,0,-0.4,,0.6,0.0144,,
,,,,,,,,,,,,,0,,,0,,
starsurp_starsurp_apex_m4_socom_gen4_stock,Starsurp ACE M4 SOCOM,14,0.32,-9,-9,,,,,,,1000,20.2,,19,0.456,244.99,
starsurp_starsurp_apex_0.5_recoil_pad,Starsurp ACE M4 SOCOM Buttpad,2,0.03,-1,-1,,,,,,,0,2.8,,,0,,
sb_tactical_vector_brace,SB Tactical Vector Brace,18,0.28,-4,-4,,,,,,,500,18,,14.4,0.3456,,
si_ar_are_t7_buffer_tube,Strike Industries Advanced Receiver Extension T7,-1,0.13,-1,-1,,,,,,,600,-2.2,,6.8,0.1632,52.95,
hart_buffer_tube,Hart,-2,0.15,-2,-2,,,,,,,0,-2.2,,7,0.168,,
,,,,,,,,,,,,,0,,,0,,
validus_la_stock,Fortis LA,17,0.2,-12,-6,,,,,,,900,26.2,,15.8,0.3792,349.95,
kf_416_slim_line_stock,KF416 Slim Line,16,0.26,-5,-19,,,,,,,1000,26.2,,13,0.312,249.95,
si_viper_mod1_stock,Strike Industries Viper MOD1 Stock,18,0.14,-6,-7,,,,,,,500,24.2,,6.6,0.1584,45.95,
viper_rubber_pad,Viper Rubber Buttpad,1,0.02,-1,-1,,,,,,,0,2,,,0,,
magtap_moe_carbine_stock,Magpul MOE Carbine,17,0.19,-9,-8,,,,,,,800,25.2,,8.4,0.2016,44.95,
magtap_moe_butt_pad,Magpul MOE Carbine Buttpad,1,0.02,-1,-1,,,,,,,0,2,,,0,,
ar_tr2_stock,AR TR2,16,0.22,-7,-12,,,,,,,800,24.4,,15.5,0.372,250,
ar_tr2_pad,AR TR2 Buttpad,1,0.03,-1,-1,,,,,,,0,1.8,,,0,,
vyctor_emod_stock,VLTOR EMOD,14,0.26,-10,-11,,,,,,,700,23.4,,14,0.336,197.95,
emod_pad,EMOD Buttpad,1,0.025,-1,-1,,,,,,,0,1.9,,,0,,
magtap_prs_gen3_stock,Magpul PRS Gen3 Stock,18,0.33,-4,-16,,-0.05,,,,,1500,24.45,,27.8,0.6672,259.95,
prs_adjustable_piece,Magpul PRS Gen3 Adjustment Piece,0,0.05,,,,,,,,,0,-1,,,0,,
prs_gen3_buttpad,Magpul PRS Gen3 Buttpad,1,0.04,-1,-1,,,,,,,0,1.6,,,0,,
hera_arms_ccs_stock,Hera Arms CCS,15,0.21,-9,-12,,,,,,,600,25.2,,9.5,0.228,59.9,
