,,new,,,,,,,,,,,,,
name,pretty_name,ergonomics,weight,horizontal_recoil,vertical_recoil,magazine_capacity,barrel_deviation,bullet_damage,bullet_velocity,buck_bullet_deviation,fire_rate,price,strength,,
remington_model_700_419mm_.308_barrel,Rem700 419mm Barrel,3,0.8,3,3,,0.15,-0.15,-200,,,2000,-21.2,-17,2.79
remington_model_700_419mm_.308_threaded_barrel,Rem700 419mm Threaded Barrel,3,0.79,3,3,,0.17,-0.15,-200,,,3000,-21.2,-17,
remington_model_700_508mm_.308_heavy_barrel,Rem700 508mm Heavy Barrel,1,1,1,1,,0.05,-0.05,-100,,,3000,-21.9,-20.5,
remington_model_700_508mm_.308_heavy_threaded_barrel,Rem700 508mm Threaded Heavy Barrel,1,0.99,1,1,,0.07,-0.05,-100,,,4000,-21.9,-20.5,
remington_model_700_559mm_.308_barrel,Rem700 559mm Default Barrel,0,1.1,0,0,,0,0,0,,,0,-22,-22,
remington_model_700_610mm_.308_barrel,Rem700 610mm Barrel ,-1,1.2,-1,-1,,-0.05,0.05,100,,,5000,-22.1,-23.5,
remington_model_700_610mm_.308_threaded_barrel,Rem700 610mm Threaded Barrel,-1,1.19,-1,-1,,-0.03,0.05,100,,,6000,-22.1,-23.5,
remington_model_700_660mm_.308_barrel,Rem700 660mm Barrel,-2,1.3,-2,-2,,-0.1,0.1,200,,,8000,-22.2,-25,
,,,,,,,,,,,,,0,0,
remington_model_700_short_action_receiver,Rem700 Short Action Receiver,0,0.4,,,,,,,,,0,-8,-8,
remington_model_700_.308_bolt_face,Remington .308 Bolt Face,0,0.1,,,,,,,,,0,-2,-2,
remington_model_700_bolt_plug,Remington M700 Bolt Plug,0,0.03,,,,,,,,,0,-0.6,-0.6,
remington_model_700_firing_pin,Remington M700 Firing Pin,0,0.02,,,,,,,,,0,-0.4,-0.4,
remington_model_700_factory_recoil_lug,Rem700 Factory Recoil Lug,0,0.03,,,,,,,,,0,-0.6,-0.6,
remington_walker_model_700_safety,Walker Model 700 safety ,0,0.01,,,,,,,,,0,-0.2,-0.2,
timney_impact_700_safety,Timney Impact 700 Safety,1,0.01,,,,,,,,,0,0.8,0.8,
remington_walker_model_700_trigger,Walker Model 700 Trigger,0,0.02,,,,,,,,,0,-0.4,-0.4,
timney_impact_700_trigger,Timney Impact 700 Trigger,1,0.02,,,,,,,,,0,0.6,0.6,
remington_walker_model_700_trigger_housing,Walker Model 700 Trigger housing,0,0.03,,,,,,,,,0,-0.6,-0.6,
timney_impact_700_trigger_housing,Timney Impact 700 Trigger housing,1,0.03,,,,,,,,,0,0.4,0.4,
,7.62x51 Winchester M80 149gr FMJ,-10,0.2,,,,0.15,,50,,,0,-15.25,-15.25,
Remington700,Remington Model 700,50,0,80,92,0,0.1,1,2150,,,42000,-49.45,69.75,
,COMMON PARTS,40,1.94,80,92,0,0.25,1,2200,0,0,42000,-99.5,19.7,
,,,,,,,,,,,,,0,0,
weaver_extended_multislot_rail_base,Weaver Extended Multislot Rail Base,-0.5,0.05,,,,,,,,,1000,-1.5,-1.5,
mdt_r700_long_rail,MDT R700 Long,-2,0.1,,-1,,,,,,,750,-3.4,-4,
,,,,,,,,,,,,,0,0,
wyatt_outdoor_rem700_.308_5r_mag,"	Wyatt's Outdoor .308 5R",-2,0.22,,,5,,,,,,300,-6.4,-6.4,
wyatt_outdoor_rem700_.308_10r_mag,"	Wyatt's Outdoor .308 10R",-6,0.36,,,10,,,,,,1000,-13.2,-13.2,
magpul_pmag_ac_5r,Magpul PMAG AC .308 5R,-2,0.18,,,5,,,,,,,-5.6,-5.6,
magpul_pmag_ac_10r,Magpul PMAG AC .308 10R,-6,0.32,,,10,,,,,,,-12.4,-12.4,
,,,,,,,,,,,,,0,0,
hogue_remington_model_700_overmolded_bdl_full_bed_block_stock,Hogue R700 Overmolded BDL Full Bed Block Stock,34,0.7,-2,-5,,,,,,,0,24.6,20,
hogue_remington_model_700_stock_pad,Hogue Rem700 Stock Pad,0,0.05,,,,,,,,,0,-1,-1,
wyatt_outdoor_rem700_.308_magwell,Wyatt Outdoor Rem700 .308 Magwell,0,0.08,,,,,,,,,0,-1.6,-1.6,
,,,,,,,,,,,,,0,0,
magpul_hunter700_short_action,Magpul Hunter 700 Short Action,38,0.8,-4,-5,,0,,,,,1000,28.2,22,
magpul_hunter_ac_magwell,Magpul Hunter AC Magazine Magwell,0,0.08,,,,,,,,,0,-1.6,-1.6,
badger_ordnance_m4_trigger_guard,Badger Ordnance M4 R700 Bottom Plate,3,0.21,,,5,,,,,,600,-1.2,-1.2,
hunterstock_lop_0.5_1,Hunter 700 Stock 0.5 Spacer,0.5,0.04,0,0,,,,,,,0,-0.3,-0.3,
hunterstock_lop_0.5_2,Hunter 700 Stock 0.5 Spacer,0.5,0.04,0,0,,,,,,,0,-0.3,-0.3,
hunterstock_lop_0.5_3,Hunter 700 Stock 0.5 Spacer,0.5,0.04,0,0,,,,,,,0,-0.3,-0.3,
hunterstock_lop_0.5_4,Hunter 700 Stock 0.5 Spacer,0.5,0.04,0,0,,,,,,,0,-0.3,-0.3,
hunter_stock_buttpad,Hunter 700 Stock Buttpad,2,0.05,-1,-1,,,,,,,0,2.4,1,
hunter_cheekrest_flat,Hunter 700 Stock Cheek Rest Flat,0.5,0.02,,,,,,,,,0,0.1,0.1,
hunter_cheekrest_.25,Hunter 700 Stock Cheek Rest .25,0.5,0.03,,,,,,,,,0,-0.1,-0.1,
hunter_cheekrest_.5,Hunter 700 Stock Cheek Rest .5,1,0.04,,,,,,,,,0,0.2,0.2,
hunter_cheekrest_.75,Hunter 700 Stock Cheek Rest .75,1,0.05,,,,,,,,,0,0,0,
,,,,,,,,,,,,,0,0,
mdt_lss_gen2_carbine_chassis,MDT LSS-XL Gen II Carbine,18,0.55,-3,-4,,,,,,,3000,11.8,7,
mdt_lss_stock_adapter,MDT LSS Fixed,-1,0.04,,,,,,,,,100,-1.8,-1.8,
mdt_v5_skeleton_rifle_stock,MDT Skeleton V5,22,0.32,0,0,,-0.05,,,,,1200,16.1,16.1,
mdt_v5_skeleton_rifle_stock_short,MDT Skeleton V5 Short,22,0.3,0,0,,-0.05,,,,,1200,16.5,16.5,
mdt_buttpad,MDT V5,1,0.05,-1,-1,,,,,,,0,1.4,0,
mdt_premier_avp_grip,MDT Premier AVP,10,0.08,1,1,,,,,,,700,7,8.4,
mdt_lss_nv_hood,MDT LSS Night Vision,0,0.04,,,,,,,,,500,-0.8,-0.8,
mdt_lss_xl_nv_hood_oversize,MDT LSS-XL Gen II Night Vision,0,0.06,,,,,,,,,750,-1.2,-1.2,
,,,,,,,,,,,,,0,0,
mdt_tac21_gen2_15inch_r700_mlok_handguard,MDT TAC21 Gen 2 15in MLOK Handguard,7,0.24,-5,-5,,,,,,,1000,9.2,2.2,
mdt_tac21_gen2_r700_buffer_tube_adapter,MDT TAC21 Gen 2 Buffer Tube Adaptor,1,0.06,,,,,,,,,600,-0.2,-0.2,
mdt_tac21_gen2_r700_lower_receiver,MDT TAC21 Gen 2 Lower Receiver,3,0.18,-2,-3,,,,,,,2000,2.8,-0.6,
mdt_tac21_gen2_r700_upper_receiver,MDT TAC21 Gen 2 Upper Receiver,3,0.21,-4,-5,,,,,,,1000,5,-1.2,
mdt_tac21_gen2_r700_mag_release,MDT TAC21 Gen 2 Magazine Release,1,0.02,,,,,,,,,0,0.6,0.6,
,,,,,,,,,,,,,0,0,
accuracy_international_rem700_sa_at_aics_gen2_folding_chassis_frame,Accuracy International Rem700 SA AT AICS 2.0 Folding Chassis Frame,25,0.47,-3,-3,,-0.05,,,,,6000,20.3,16.1,
accuracy_international_at_aics_gen2_buttpad,Accuracy International AT AICS 2.0 Buttpad,0,0.06,,,,,,,,,0,-1.2,-1.2,
accuracy_international_at_aics_gen2_10mm_spacer,Accuracy International AT AICS 2.0 10mm Spacer,0.5,0.02,,,,,,,,,200,0.1,0.1,
accuracy_international_at_aics_gen2_cheekrest,Accuracy International AT AICS 2.0 Cheek Rest,2,0.04,,,,,,,,,0,1.2,1.2,
accuracy_international_rem700_sa_at_aics_gen2_folding_chassis_standard_stock,ccuracy International AT AICS 2.0 Standard Stock,19,0.27,-1,-1,,,,,,,0,15,13.6,
accuracy_international_rem700_sa_at_aics_gen2_folding_chassis_thumbhole_stock,Accuracy International AT AICS 2.0 Thumbhole Stock,20,0.31,-3,-3,,,,,,,2000,18,13.8,
accuracy_international_rem700_sa_at_aics_gen2_folding_chassis_external_cover,Accuracy International Rem700 SA AT AICS 2.0 Folding Chassis External Cover,0,0.1,,,,,,,,,0,-2,-2,
accuracy_international_at_aics_gen2_frame_mount,Accuracy International AT AICS 2.0 Frame Mount,0,0.02,,,,,,,,,0,-0.4,-0.4,
accuracy_international_at_aics_gen2_frame_keymod_assembly,Accuracy International AT AICS 2.0 Keymod Frame Cover,0,0.02,,,,,,,,,200,-0.4,-0.4,
accuracy_international_at_aics_gen2_frame_rail_assembly,Accuracy International AT AICS 2.0 Picatinny Frame Cover,-2,0.03,,,,,,,,,700,-2.6,-2.6,
accuracy_international_at_aics_gen2_stock_hinge,Accuracy International AT AICS 2.0 Stock Hinge,0,0.03,,,,,,,,,0,-0.6,-0.6,
accuracy_international_at_aics_gen2_stock_hinge_body,Accuracy International AT AICS 2.0 Stock Hinge Body,0,0.03,,,,,,,,,0,-0.6,-0.6,
accuracy_international_at_aics_gen2_mag_release,Accuracy International AT AICS 2.0 Mag Release,0,0.01,,,,,,,,,0,-0.2,-0.2,
accuracy_international_rem700_sa_at_aics_gen2_folding_chassis_pistol_grip_assembly,Accuracy International Rem700 SA AT AICS 2.0 Folding Chassis Pistol Grip Assembly,5,0.18,-2,-2,,,,,,,0,4.2,1.4,
accuracy_international_at_aics_gen2_standard_backstrap,Accuracy International AT AICS 2.0 Standard Backstrap,2,0.04,,,,,,,,,0,1.2,1.2,
accuracy_international_at_aics_gen2_thumbhole_backstrap,Accuracy International AT AICS 2.0 Thumbhole Backstrap,3,0.07,,,,,,,,,500,1.6,1.6,
,,,,,,,,,,,,,0,0,
,Hogue,72,2.99,78,87,5,0.25,1,2200,0,0,42300,-83.9,30.7,
,Hunter,78.5,3.07,75,86,5,0.25,1,2200,0,0,43000,-76,35.6,
,Hunter + Badger,83.5,3.02,75,86,5,0.25,1,2200,0,0,43600,-70,41.6,
,LSS,88,3.14,77,88,5,0.2,1,2200,0,0,47000,-70.2,44.2,
,TAC21,85,3.3,69,79,5,0.2,1,2200,0,0,48600,-64.6,38,
,AICS,91.5,3.39,74,86,5,0.2,1,2200,0,0,48200,-68.1,42.7,
,AICS Thumbhole,93.5,3.46,72,84,5,0.2,1,2200,0,0,50700,-64.7,43.3,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
