fn ,Proposed Rename,Renamed Items Featured,Final?,Opinion,Needs Logo?,Status,,
2A Armament,Freedom Arms,M4 handguards,YES,OK,NO,DONE,,
A.R.M.S. (Atlantic Research Marketing Systems),F.I.R.M. (Firearm Innovations & Research Manufacturing),"Iron Sights, M16 scope mount",YES,OK,YES,AWAITING LOGO,,
A3 Tactical,Alpha Four Tactical,One angled grip,YES,OK,NO,DONE,,
AAC (Advanced Armament Corporation),EWC (Evolved Weaponries Corporation),,YES,OK,NO,DONE,,
Accuracy International,Precision Intercontinental,,YES,OK,NO,DONE,,
ACE Ltd. (owned by DoubleStar Corp),APEX Ltd,"Stock, M4 Recoil Pad, AK pistol grip",YES,OK,NO,DONE,,
Aeroknox,Aeontex,Change pls,,,,,,
AIM Sports,Target Sports,AK mounts,YES,OK,NO,DONE,,
Aimpoint,Azimuth,,YES,OK,YES,AWAITING LOGO COMMISSION,,
Aimtech,Optech,,YES,OK,NO,DONE,,
AKademia,MarkAKachestva,,,,,,,
Alpha Dog Silencers,Alpha Fox Silencers,9x19 Silencer,YES,OK,YES,AWAITING LOGO,,
American Tactical Imports (ATI),Freedom Tactical Imports (FTI),,,,,,,
"Ammo, Inc.",Munitions Incorporated,.45 ACP round,YES,OK,NO,DONE,,
AMTAC Suppressors,ZETAC Suppressors,5.56x45 Suppressors,YES,OK,YES,AWAITING LOGO,,
Apex Tactical,Nexa Tactical,,YES,i dont give a damn,YES,DONE,,
Arbalet,Luchnik,,YES,OK,YES,AWAITING LOGO COMMISSION,,
Arisaka Defense,Nariakira Defense,,YES,OK,NO,DONE,,
Armasight,Squadsight,,YES,OK,YES,AWAITING LOGO + UNSURE,,
Armaspec,Tactispec,,YES,OK,YES,AWAITING LOGO,,
Arms RTG,Russian Tuning,ARMS RTG AK-12 Megatron,YES,OK,NO,DONE,,
Armscor,Ammocor,9x19 ARMSCOR USA 147gr Subsonic FMJ,YES,OK,NO,DONE,,
Armytek,Lumatech,,YES,OK,YES,AWAITING LOGO COMMISSION,,
Axion,Adron,"Dovetail collimator sights, AK mounts",YES,OK,YES,AWAITING LOGO,,
Badger Ordnance,Corvus Mounts,,YES,OK,YES,AWAITING LOGO COMMISSION,,
Ballistic Advantage,Kinetic Advantage,,YES,OK,NO,DONE,,
Ballistic Advantage,PrimaBarrels,"Ballistic Advantage Modern Series Government 11.5"" Carbine Length Gastube 5.56x45",YES,OK,NO,DONE,,
BAR-STO,VAL-BOR,,YES,i dont give a damn,"NO, JUST NAME",DONE,,
Barnaul Cartridge Plant (makes Silver Bear),Birsk Cartridge Plant (Polar Bear),5.45x39 Silver Bear 60gr FMJ,YES,OK,NO,DONE,,
Barska,UltraCROSS,"Barska 4x20 Scope Carry Handle, Barska Electro 4x20 BDC Turret",YES,OK,YES,AWAITING LOGO,,
Battle Arms Development,apex,Battle arms rack,YES,OK,UNSURE,UNSURE,,
BelOMO (veles-BelOMO),ChelOMO (Chelyabinsk Optical Mechanical Holding),"PSO-1 4x24, PK-A 1x20, PK-AS, PK-06 Kobra, PRC",YES,OK,YES,AWAITING LOGO,,
BHSpringSolutions,AllPistolSprings,BHSpringSolutions TT-33 (+1 Round),YES,OK,NO,DONE,,
Blazer (brand of CCI),Phoenix,"10mm Auto Aluminum 200gr FMJ, .45 ACP Brass 230gr FMJ",YES,OK,NO,DONE,,
Bravo Company USA (BCM),Echo Company Machineworks (ECM),,YES,OK,YES,AWAITING LOGO COMMISSION,,
Brownells,Whitnalls,"XM177 Stock, 5.56x45mm NATO barrels & magazines",YES,OK,NO,DONE,,
Bulletec,Strelets,,YES,OK,NO,DONE,,
