real_name,ingame_name,status,proposed_name,products,notes

WEAPON MANUFACTURERS,,,,,
Airtronic USA,LaunchTron USA,renamed,,RPG-7 (PSRL),
Colt,Hart,renamed,,"M4/CAR-15/XM177 platform, SMG mags",The M4A1 weapon itself is branded KF416D.
DSA (DSArms),RSA,renamed,,FAL/SA-58 platform,SA-58 product is branded SG-58. Also covers ex-FN FAL items.
Enfield (RSAF),Sheffield,renamed,,L1A1 SLR,L1A1 SLR -> Sheffield L4.
Kalashnikov Concern (Izhmash),Kazarov / Kazarov Group,renamed,,AK-74/AKM/AK-12/AK-308/RPK-16 and all AK furniture/mags,"Izhmash -> Kazarov, Kalashnikov Concern -> Kazarov Group. 'Izhevsk' (PM pistol parts) keeps the real factory/city name."
Norinco,Sanxian,renamed,,QBZ-95 platform,
Noveske Rifleworks,Nowa,renamed,,N4 rifle parts,Display 'Nowa'; internal ids novacek_.
NPO Bazalt,SNO Vulkan,renamed,,RPG-7 parts,
Shenzhen Defender,Qingyuan Defense,renamed,,QBZ-95 aftermarket,
Sig Sauer,Sic Stürmer,renamed,,"P320, Romeo optics, Foxtrot lights",Internal ids keep sig_sauer_ prefix.
Steyr Arms,Löwenherz,renamed,,AUG A1/A3 platform,Internal ids keep steyr_aug_ prefix.
FN Herstal,AF Tournai / AFT,in progress,,"SCAR/FAL platforms, mags, ammo",Company -> AF Tournai; SCAR weapons -> AFT MK-16/MK-17/Mk20; aftermarket 'SCAR' parts -> 'FANG'; FN FAL items sit under RSA as the SA-58.
Glock,KOSCH,in progress,,"Glock 17/20 platform, slides, mags",KOSCH items live alongside rows still displaying 'Glock'. Generic glock-pattern mags are branded 'PF940'.
Heckler & Koch (HK),KF (Kepler & Forst),in progress,,"HK416/M27, G3, PSG-1, MP5, UMP platforms","Weapons rebranded under KF: HK416 -> KF416 (Colt M4A1 is KF416D), M27 -> KF M27 IAR, G3 -> KG-31, PSG-1 -> SKG-31, MP5 -> MPi-54, HK94 -> KF-94, UMP -> UMK. A few 'MP5/HK94' display names remain."
KRISS USA,KALIS,in progress,,Vector platform,Vector -> KALIS Scalar. One '9x19 KRISS MagEx2' display name remains.
