0.25.2,Tue Jun  2 16:57:06 2026,,,,,,,,,,,,
id,name,ir_compatible,ir_angle,ir_brightness,ir_flare_distance,ir_flare_strength,vi_compatible,vi_angle,vi_brightness,vi_flare_distance,vi_flare_strength,vi_secondary_angle,vi_secondary_brightness
1,armytek_predator_prov3_xhp35_hi,false,,,,,true,60,2,1,0.15,40,6
2,ultrafire_wf501b_flashlight,false,,,,,true,60,2,0.5,0.15,50,4
3,archient_technologies_elysium_flashlight_module,false,,,,,true,50,1.5,0.5,0.2,40,3
4,centrefire_lm1_bk_flashlight,false,45,0.15,,,true,45,3,0.5,0.12,50,4
5,centrefire_lm1_b_bk_flashlight,false,45,0.15,,,true,40,2.5,0.5,0.12,50,4
6,centrefire_lm2_bk_flashlight,false,45,0.15,,,true,50,4.5,0.9,0.18,55,5.5
7,centrefire_lm2_b_bk_flashlight,false,45,0.15,,,true,50,4,0.8,0.15,55,5
8,wepmod_plhv2_light_head,false,45,0.15,,,true,55,4,0.8,0.15,40,5
9,centrefire_km1_e_ir_scout_light_head,true,45,0.15,0.6,0.15,true,45,3,0.7,0.15,30,4
10,veles_klesch_2p_lcu,false,,,,,true,60,2,0.5,0.2,30,5
11,insight_technology_an_peq_2a_tpial,true,40,0.7,0.6,0.15,false,,,,,,
12,l3harrison_atpial_an_peq_15,true,40,0.45,0.6,0.15,false,,,,,,
13,veles_perst_3_classic_gen4_green,true,50,0.3,0.6,0.15,false,,,,,,
14,las_tac_2,false,,,,,true,50,2.5,0.6,0.15,30,3
15,be_meyers_mawl_c1+,true,35,0.35,0.8,0.2,false,60,2,1,1,30,5
16,insight_technology_wmx200_fixed_mount_tactical_illuminator,true,65,0.25,0.6,0.15,true,50,3,0.7,0.15,40,5
17,l3harrison_mipim_an_peq_16b,true,40,0.5,0.6,0.15,true,40,0,0.4,0.2,30,1
18,holosun_ls321g,true,40,0.5,0.6,0.15,false,,,,,,
19,sightmark_lopro_combo,true,60,0.3,0.6,0.15,true,60,2,1,1,30,5
20,sightmark_lopro_mini_combo,false,,,,,true,50,2,1,0.8,20,5
21,holotec_ogl_tactical_laser_module,true,60,0.4,0.6,0.15,false,,,,,,
22,whitehouse_raid_xe_g18_high_power_laser_aiming_device,true,45,0.6,0.6,0.15,false,,,,,,
23,whitehouse_raid_xe_g14_high_power_laser_aiming_device,true,45,0.6,0.6,0.15,false,,,,,,
24,sig_sauer_foxtrot1_flashlight,false,,,,,true,60,3,0.7,0.19,20,4
