0.25.2,Tue Jun  2 16:37:57 2026,,,,,,
id,name,aim_fov,brightness_default,brightness_nv,eye_relief_sensitivity,is_black_in_night_vision,disable_when_not_alone
1,holotec_vudu_1_6x24,not_magnified,10,0.1, ,true,false
2,nightforce_atacr7_35x56_f1,not_magnified,5,500, ,true,false
3,azimuth_compm2_sight,not_magnified,5,0.2, ,false,false
4,izhevsk_pm_std_rear_sight,not_magnified, , , ,false,false
5,rtm_pm1_makarov_rear_sight,not_magnified, , , ,false,false
6,aft_rear_sight_200m_aperture,not_magnified, , , ,false,false
7,aft_rear_sight_600m_aperture,not_magnified, , , ,false,false
8,r870_serbu_shorty_receiver,not_magnified, , , ,false,true
9,r870_std_receiver,not_magnified, , , ,false,true
10,roosevelt_870_mod_rmp3_receiver,not_magnified, , , ,false,true
11,hg_shortrail_ghost_ring_rear_sight,not_magnified, , , ,false,false
12,r870_std_rear_sight,not_magnified, , , ,false,false
13,npz_pk1_1p63_obzor,70,5,0.2, ,false,false
14,npz_usp_1_4x_1p29_tulip,22,5,0.2,9,true,false
15,priceli_narod_okp_7_dovetail,not_magnified,10,0.333, ,false,false
16,veles_chelomo_pso1,22,5,0.1,4.5,true,false
17,geiss_zfk_4x25_scope,22,5,0.2,5,true,false
18,chelomo_pk_a_1x20_dovetail_scope,70,5,0.2, ,false,false
19,npz_nspu_m_3.5x_1pn58,22,5,0.1,5.5,true,false
20,adron_kobra_ekp_8_02_mount,not_magnified, , , ,false,false
21,npz_po1x20_1p76_rakurs_a,70,5,0.1,4.5,true,false
22,ak12_gen2_dustcover,not_magnified, , , ,false,true
23,archient_technologies_elysium_addon_module,not_magnified, , , ,false,false
24,gdr_zvn_64_night_rear_sight_ak74,not_magnified, , , ,false,false
25,gdr_zvn_64_night_rear_sight_akm,not_magnified, , , ,false,false
26,kazarov_ak74_6p1_sb2_rear_sight,not_magnified, , , ,false,false
27,kazarov_pp-19-01_vityaz_rear_sight,not_magnified, , , ,false,false
28,kazarov_aks74u_rear_sight,not_magnified, , , ,false,false
29,mp133_std_receiver,not_magnified, , , ,false,true
30,launchtron_psrl_rear_ironsight,60, , , ,false,false
31,tt33_postwar_slide,not_magnified, , , ,false,false
32,tt33_prewar_slide,not_magnified, , , ,false,false
33,tt33_mod_postwar_slide,not_magnified, , , ,false,false
34,sanxian_qbz95_rear_aperture,not_magnified, , , ,false,false
35,sanxian_qbz95_yma95_3x_scope,30,5,0.1,4.5,true,false
36,sig_sauer_xray3_night_rear_sight,not_magnified, , , ,false,false
37,sig_sauer_m17_sigplate_rear_sight,not_magnified, , , ,false,false
38,whitner_defense_1911_tab_rear_battlesight,not_magnified, , , ,false,false
39,steyr_aug_a1_stg77_1_5x_scoped_receiver,50,5,5,4,true,false
40,aug_a1_receiver_top_backup_sights,not_magnified, , , ,false,false
41,steyr_aug_a3sf_60mm_3x_scope,30,5,5,2,false,false
42,steyr_aug_a3sf_60mm_1.5x_scope,50,5,5,2,false,false
43,aug_a3sf_top_rail_2,not_magnified, , , ,false,false
44,mosin_rear_sight,not_magnified, , , ,false,false
45,npz_1p78_1_2.8x_kashtan_scope,40,5,0.2,4.5,true,false
46,paramount_arms_slx_1x_microprism_acss_g2_scope,not_magnified,5,0.2,2,false,false
47,virticon_compact_acog_3x24_ta50c_green,35,5,0.2,7,true,false
48,virticon_compact_acog_3x24_ta50c_red,35,5,0.2,7,true,false
49,monstrum_tactical_s232p_2x32_prism_scope,40,8,0.2,6,false,false
50,aeroknox_ax15_rear_sight,not_magnified, , , ,false,false
51,aeroknox_ax15_rear_sight_folded,not_magnified, , , ,false,false
52,target_sports_rear_sight,not_magnified, , , ,false,false
53,azimuth_acro_p2_reflex_sight,not_magnified,10,0.2, ,false,false
54,azimuth_compm4_sight,not_magnified,13,0.15, ,false,false
55,sig_sauer_romeo4b_sight,not_magnified,10,0.33, ,false,false
56,sig_sauer_romeo4t_sight,not_magnified,10,0.2, ,false,false
57,azimuth_micro_t1_sight,not_magnified,10,0.5, ,false,false
58,azimuth_compm5_sight,not_magnified,10,0.2, ,false,false
59,azimuth_micro_t2_sight,not_magnified,10,0.2, ,false,false
60,alistair_ar536_prism_5x_sight_carry_handle,16,5,0.2,3.5,true,false
61,alistair_ar332_prism_3x_sight_carry_handle,30,5,0.2,3.5,true,false
62,virticon_acog_ta31_milspec_4x_scope_carry_handle,23,8,0.2,3.5,true,false
63,virticon_acog_ta01_4x_scope_carry_handle,23,8,0.2,3.5,false,false
64,virticon_acog_ta31_comspec_4x_scope_carry_handle,23,8,0.2,3.5,true,false
65,virticon_acog_ta11d_bac_carry_handle,30,8,0.2,3.5,true,false
66,hart_retro_a1_4x21_scope,22,5,0.1,4.5,true,false
67,ultracross_electro_4x20_bdc_scope,22,5,0.1,3,true,false
68,elcan_alt_view,not_magnified, , , ,false,false
69,holotec_exps2_green_holo_sight,not_magnified,10,4, ,false,false
70,holotec_exps2_holo_sight,not_magnified,10,4, ,false,false
71,holotec_exps3_holo_sight,not_magnified,10,0.2, ,false,false
72,holotec_g33_3x_magnifier,30, , , ,true,false
