name,pretty_name
paramount_arms_slx_1x_microprism_acss_g2_scope,Paramount Arms SLx 1x MicroPrism ACSS-G2
paramount_arms_slx_1.1inch_mount,"Paramount Arms SLx 1.1"""
paramount_arms_slx_1.53inch_straight_spacer,"Paramount Arms SLx 1.53"""
25mm_universal_mount,25mm Universal Tactical
firm_no5_mount,F.I.R.M. #5 Multibase
alpha_four_tactical_angled_foregrip,Alpha Four Tactical Angled
abom_cnc_works_picatinny_susat_adapter,Abom's CNC Works Picatinny SUSAT Adapter
virticon_ac32062_mount,Virticon AC32062 RMR Mount
aeroknox_ax15_front_sight_base,Arrow AX // 15 Base
aeroknox_ax15_rear_sight_base,Arrow AX // 15 Base
target_sports_low_profile_45_degree_sight_base,Target Sports Low Profile 45 Degree
azimuth_30mm_low_ring_mount,Azimuth 30mm Low Ring
azimuth_amm_dovetail_11mm_mount,Azimuth AMM Dovetail Groove 11mm
azimuth_electronic_g2_red_dot,Azimuth Electronic G2
azimuth_micro_lrp_qd_mount,Azimuth Micro LRP QD
be_meyers_mawl_c1+,B.E. Meyers MAWL-C1+
corvus_mounts_comm_30mm_mount_body,"Corvus Mounts C.O.M.M. 30mm 1.54"" Height"
corvus_mounts_comm_34mm_mount_body,"Corvus Mounts C.O.M.M. 34mm 1.54"" Height"
alistair_ar_prb_mount,Alistair AR PRB
alistair_ar_pepr_30mm_mount,Alistair AR-P.E.P.R.™
adron_kobra_ekp_8_sight,Adron Kobra EKP-8
adron_kobra_ekp_8_18_mount,Adron Kobra EKP-8-18 Picatinny
adron_kobra_ekp_8_sunshade,Adron Kobra EKP-8
hart_ca2r,Hart CA2R
hart_m4a1_carry_handle,Hart M4A1 Carry Handle
hera_arms_cqr_gen1_foregrip,CQR FG
hera_arms_cqr_gen2_foregrip,Eris Arms CQR Gen2
elcan_c79a2,RECAN C79A2 3.4x
elcan_specter_os4x_sfov4,RECAN Specter OS4X Fixed-Magn. SFOV4
elcan_specterdr_1_4x_dfov14_t1,RECAN SpecterDR 1-4x DFOV14-T1
holotec_553_holo_sight,HOLOTEC 553
holotec_552_holo_sight,HOLOTEC 552
holotec_512_holo_sight,HOLOTEC 512
holotec_exps3_holo_sight,HOLOTEC EXPS3
holotec_exps2_holo_sight,HOLOTEC EXPS2
holotec_sts_picatinny_mount,HOLOTEC G23/33 STS
holotec_xps3_holo_sight,HOLOTEC XPS3
holotec_xps2_holo_sight,HOLOTEC XPS2
holotec_xps2_green_holo_sight,HOLOTEC XPS2 Green
holotec_xps2z_zombie_stopper_holo_sight,HOLOTEC XPS2-Z Zombie Stopper
holotec_exps2_green_holo_sight,HOLOTEC EXPS2 Green
holotec_exps2_mount,HOLOTEC EXPS2
holotec_exps3_mount,HOLOTEC EXPS3
holotec_exps2_hood,HOLOTEC EXPS2 Hood
holotec_exps3_hood,HOLOTEC EXPS3 Hood
holotec_exps2_green_hood,HOLOTEC EXPS2 Green Hood
holotec_553_hood,HOLOTEC 553 Hood
holosun_hs510c_sight,HoloStar HS510C
holosun_he510c-gr_sight,HoloStar HE510C-GR
pro_tactical_tactical_lightweight_vertical_grip,P.R.O Tactical Lightweight Vertical
emberfield_mg_kemper_xl_reflex_sight,EmberField MG Kemper XL Reflex
aft_rear_sight_base,AFT Standard
gbrs_group_azimuth_hydra_mount_kit,GBRS Group Hydra Mount Kit For Azimuth
grip_pod_gps_02_body,Grip Pod Systems GPS-02
holosun_hs401g5,HoloStar HS401G5
holosun_ls321g,HoloStar LS321G
insight_technology_an_peq_5_cvl,Percept Technology CVL AN/PEQ-5
insight_technology_an_peq_2a_tpial,Percept Technology TPIAL AN/PEQ-2A
insight_technology_wmx200_fixed_mount_tactical_illuminator,Percept Technology WMX200 Tactical Illuminator w/ Fixed Non-Rotating Mount
pac_11rib_railpanel,PAC 11 Rib
pac_2rib_railpanel,PAC 2 Rib
pac_4rib_railpanel,PAC 4 Rib
pac_5rib_railpanel,PAC 5 Rib
pac_6rib_railpanel,PAC 6 Rib
pac_9rib_railpanel,PAC 9 Rib
pac_front_sight_base,PAC Front Base
pac_micro_front_sight_base,PAC Micro Front Base
pac_micro_rear_sight_base,PAC Micro Rear Base
pac_rear_sight_base,PAC Rear Base
pac_vpg,PAC VPG
khf_34mm_iea,KHF I-E-A 34mm
l3harrison_atpial_an_peq_15,N4 Harrison ATPIAL AN/PEQ-15
l3harrison_mipim_an_peq_16b,N4 Harrison MIPIM AN/PEQ-16B
leroux_qd_lt_101,LeRoux QD LT-101
las_tac_2,LAS/TAC 2
strauss_deltapoint_pro_ar,Strauss DeltaPoint PRO AR
strauss_deltapoint_pro_cross_slot,Strauss DeltaPoint Pro Cross Slot
strauss_deltapoint_pro_ar_dloc,Strauss DeltaPoint PRO DLOC
magtap_afg_2_grip,Magtap AFG-2
magtap_mbus_gen2_base,Magtap MBUS Gen2
magtap_rvg_mag412_foregrip,Magtap RVG MAG412
xtm_2_piece,Magtap XTM 2-Piece Panel
xtm_4_piece,Magtap XTM 4-Piece Panel
magtap_xtm_enhanced_handstop_1,Magtap XTM Enhanced Handstop Piece
magtap_xtm_enhanced_half_panel_1,Magtap XTM Enhanced Modular Half Panel Piece
magtap_xtm_enhanced_panel_1,Magtap XTM Enhanced Modular Panel Piece
magtap_xtm_enhanced_short_handstop_1,Magtap XTM Enhanced Short Handstop Piece
xtm_full_handstop,Magtap XTM Full Handstop
fab_tech_usgi_rear_buis_base,MaTech USGI Rear BUIS Base
maxwell_grip,Legally Distinct Feline
mission_first_folding_grip,Mission First Tactical Folding
monstrum_tactical_compact_scope_mount,Monstrum Tactical Compact
monstrum_tactical_s232p_2x32_prism_scope,Monstrum Tactical S323P 2x32 Compact Prism
target_sports_mt012h_riser_mount,"Target Sports MT012H 1"""
target_sports_mt012l_riser_mount,"Target Sports MT012L 0.5"""
target_sports_mt012m_riser_mount,"Target Sports MT012M 0.83"""
cosmotac_blue_lam_module,CosmoTac Blue LAM Module
cosmotac_mark_3_tactical_gen2_3_9x42,CosmoTac Mark III Tactical Gen 2 3-9x42
cosmotac_mpr45_offset_mount,CosmoTac Mpr45 Offset
npz_1p78_kashtan_p1_picatinny_adapter,NPZ 1P78 Kashtan P-1 Picatinny Adapter
okb_crazy_romanian_picatinny_full_grip,OKB Crazy Romanian Picatinny Full
okb_crazy_romanian_picatinny_half_grip,OKB Crazy Romanian Picatinny Half
pilad_p1x42,Pilad P1x42
priceli_narod_okp_7_picatinny,Priceli Narod OKP-7
pts_validus_shift_tactical_grip,Pts Validus Shift Tactical
